date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-01-27,26,54,0.0,0.0,0.0,1.2332,0.0,0.0
2025-01-27,26,55,0.0,0.0,0.0,1.1858,0.0,0.0
2025-01-27,26,56,0.0,0.0,0.0,1.1187,0.0,0.0
2025-01-27,26,57,0.0,0.0,0.0,1.1312,0.0,0.0
2025-01-27,26,58,0.0,0.0,0.0,1.213,0.0,0.0
2025-01-27,26,59,0.0,0.0,0.0,1.3028,0.0,0.0
2025-01-27,26,60,0.0,0.0,0.0,1.3305,0.0,0.0
2025-01-27,26,61,0.0,0.0,0.0,1.2841,0.0,0.0
2025-01-27,26,62,0.0,0.0,0.0,1.2477,0.0,0.0
2025-01-27,26,63,0.0,0.0,0.0,1.2855,0.0,0.0
2025-01-27,26,64,167.25203427062092,167.25203427062092,0.0,1.0759,179.94646367176108,179.94646367176108
2025-01-27,26,65,945.5308611111111,1042.6727129629628,97.1418518518517,0.7116,672.8397607666667,776.5289734333332
2025-01-27,26,66,918.9768563888888,1016.382731203704,97.4058748148152,0.6423,590.2588348585832,684.104524948917
2025-01-27,26,67,898.9498541666667,968.7869266666669,69.8370725000002,0.7066,635.1979669541666,709.2182800969168
2025-01-27,26,68,861.2769833333332,918.1031777777778,56.82619444444458,0.7258,625.1148345033332,686.981512395
2025-01-27,26,69,866.5315680555557,915.9521446296299,49.420576574074175,0.6776,587.1617905144445,637.3928645443335
2025-01-27,26,70,858.6820738888887,890.5789792592591,31.896905370370405,0.6,515.2092443333332,543.9164591666666
2025-01-27,26,71,801.4267166666668,818.8279166666669,17.401200000000017,0.5438,435.8158485233334,450.0100073633334
2025-01-27,26,72,762.2147691666667,862.1545827777777,99.93981361111105,0.5496,418.913237134,501.30361947499995
2025-01-27,26,73,787.7206194444448,902.89913,115.17851055555525,0.6185,487.2052031263891,594.0620662943055
2025-01-27,26,74,852.8025250000003,903.3194916666666,50.51696666666635,0.6538,557.5622908450002,607.1042800549999
2025-01-27,26,75,859.1104313888891,890.2350766666667,31.12464527777763,0.5847,502.3218692330834,529.6197393739583
2025-01-27,26,76,906.9810702777777,933.6130058333332,26.631935555555515,0.7686,697.1056506154999,727.8096091174999
2025-01-27,26,77,0.0,0.0,0.0,1.0913,0.0,0.0
2025-01-27,26,78,56.62416934048611,56.62416934048611,0.0,1.0598,60.010294667047184,60.010294667047184
2025-01-27,26,79,93.58002527777762,110.28543111111082,16.705405833333202,0.9709,90.85684654219429,115.1857643275691
2025-01-27,26,80,174.0487222222223,174.0487222222223,0.0,0.9974,173.5961955444445,173.5961955444445
2025-01-27,26,81,0.0,143.8055127777775,143.8055127777775,1.0314,0.0,222.48150881849958
2025-01-27,26,82,0.0,0.0,0.0,1.1473,0.0,0.0
2025-01-27,26,83,0.0,0.0,0.0,1.2909,0.0,0.0
2025-01-27,26,84,0.0,0.0,0.0,1.3031,0.0,0.0
2025-01-27,26,85,0.0,0.0,0.0,1.3072,0.0,0.0
2025-01-27,26,86,0.0,0.0,0.0,1.3741,0.0,0.0
2025-01-27,26,87,0.0,0.0,0.0,1.4161,0.0,0.0
2025-01-27,26,88,0.0,0.0,0.0,1.2321,0.0,0.0
2025-01-27,26,89,1247.7897500000004,1248.9737000000002,1.183949999999868,0.9238,1152.7081710500004,1154.3487705650002
2025-01-27,26,90,1337.182788888889,1350.385833333333,13.203044444444004,0.823,1100.5014352555556,1116.8005936222216
2025-01-27,26,91,545.1030849999997,1410.8114297222223,865.7083447222226,0.8666,472.38633346099977,1597.720610765417
2025-01-27,26,92,1391.2304972222223,1424.0580555555555,32.82755833333317,0.9448,1314.4345737755557,1360.9577894455554
2025-01-27,26,93,612.9706899999996,653.9992861111107,41.02859611111103,1.0053,616.2194346569997,678.0885061627496
2025-01-27,26,94,644.9695627777778,678.2354883333335,33.26592555555567,1.0061,648.9038771107223,699.1071486628891
2025-01-27,26,95,607.0058306027806,1256.96475716053,649.9589265577495,0.988,599.7217606355473,1562.960889794132
2025-01-27,26,96,682.2902672222224,771.8851702777777,89.59490305555528,1.0274,700.9850205441113,839.0597256430276
2025-01-27,26,97,763.8877216666667,763.8877216666667,0.0,1.0264,784.0543575186667,784.0543575186667
2025-01-27,26,98,805.4452388888892,805.4452388888892,0.0,1.0058,810.1168212744448,810.1168212744448
2025-01-27,26,99,811.7599116666668,831.885320925002,20.125409258335253,1.0828,878.9736323526668,911.6613220700549
2025-01-27,26,100,879.5112588888886,939.4920299999999,59.98077111111127,1.1124,978.3683243879998,1078.452239064
2025-01-27,26,101,1000.9238611111109,1000.9238611111108,-1.1368683772161603e-13,1.0718,1072.7901943388888,1072.7901943388886
2025-01-27,26,102,958.8504544444443,958.850454444444,-2.2737367544323206e-13,1.0872,1042.4622140719998,1042.4622140719998
2025-01-27,26,103,959.8831552777775,959.8831552777774,-1.1368683772161603e-13,1.1263,1081.116397789361,1081.1163977893607
2025-01-27,26,104,1038.2231666666667,1038.2231666666664,-2.2737367544323206e-13,1.1306,1173.8151122333334,1173.8151122333334
2025-01-27,26,105,1191.2761940740752,1191.2761940740752,0.0,1.0968,1306.5917296604457,1306.5917296604457
2025-01-27,26,106,929.5528149999998,929.5528149999996,-2.2737367544323206e-13,1.1677,1085.4388220754997,1085.4388220754997
2025-01-27,26,107,724.8487524999997,747.1499927928037,22.301240292803982,1.307,947.3773195174996,991.0989011115417
2025-01-27,26,108,707.6797316666666,715.4990157407409,7.8192840740742895,1.3242,937.109500673,952.6409446293337
2025-01-27,26,109,730.2407861111111,730.2407861111112,1.1368683772161603e-13,1.2735,929.9616411125,929.9616411125003
2025-01-27,26,110,727.9906071111109,736.0876296296296,8.09702251851877,1.2372,900.6699791178664,915.6964335077336
2025-01-27,26,111,758.3389991666666,778.3635999999999,20.024600833333352,1.2588,954.5971321509998,992.4075834444998
2025-01-27,26,112,667.2827802511786,792.3907713888888,125.1079911377102,1.3656,911.2413647110094,1167.512573757495
2025-01-27,26,113,0.0,0.0,0.0,1.4977,0.0,0.0
2025-01-27,26,114,0.0,0.0,0.0,1.5455,0.0,0.0
2025-01-27,26,115,0.0,0.0,0.0,1.5355,0.0,0.0
2025-01-27,26,116,0.0,0.0,0.0,1.5298,0.0,0.0
