date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-01-20,19,17,657.485574074074,657.485574074074,0.0,0.4909,322.7596683129629,322.7596683129629
2025-01-20,19,18,713.1197872222224,713.1197872222224,0.0,0.4821,343.7950494198334,343.7950494198334
2025-01-20,19,19,726.3127364814815,726.3127364814815,0.0,0.4728,343.40066180844445,343.40066180844445
2025-01-20,19,20,695.8155648148149,695.8155648148149,0.0,0.4709,327.6595494712963,327.6595494712963
2025-01-20,19,21,689.5718734259259,689.5718734259259,0.0,0.4672,322.1679792645926,322.1679792645926
2025-01-20,19,22,709.7070116666667,709.7070116666667,0.0,0.4742,336.5430649323334,336.5430649323334
2025-01-20,19,23,0.0,0.0,0.0,0.4996,0.0,0.0
2025-01-20,19,24,0.0,0.0,0.0,0.5332,0.0,0.0
2025-01-20,19,25,724.7754791666666,724.7754791666666,0.0,0.5416,392.53839951666663,392.53839951666663
2025-01-20,19,26,758.0185740740741,758.0185740740741,0.0,0.5276,399.93059968148145,399.93059968148145
2025-01-20,19,27,705.8959326851852,705.8959326851852,0.0,0.5222,368.6188560482037,368.6188560482037
2025-01-20,19,28,1396.603488415638,1396.603488415638,0.0,0.4996,697.7431028124527,697.7431028124527
2025-01-20,19,29,1518.4014351851852,1518.4014351851852,0.0,0.4782,726.0995663055555,726.0995663055555
2025-01-20,19,30,771.5465124074074,771.5465124074074,0.0,0.5046,389.3223701607778,389.3223701607778
2025-01-20,19,31,45.3295275925924,45.3295275925924,0.0,0.5068,22.973004583925828,22.973004583925828
2025-01-20,19,32,728.28775,728.28775,0.0,0.4447,323.86956242499997,323.86956242499997
2025-01-20,19,33,1511.464574722222,1511.464574722222,0.0,0.3998,604.2835369739444,604.2835369739444
2025-01-20,19,34,765.3005096296297,765.3005096296297,0.0,0.6687,511.7564507893333,511.7564507893333
2025-01-20,19,35,906.9210277777779,1740.236595920564,833.3155681427861,1.0779,977.5701758416669,2324.9164521933308
2025-01-20,19,36,924.738751388889,924.738751388889,0.0,1.1214,1037.0020358075,1037.0020358075
2025-01-20,19,37,918.1741029629632,918.174102962963,-1.1368683772161603e-13,1.0438,958.390128672741,958.390128672741
2025-01-20,19,38,941.9513944444444,941.9513944444442,-2.2737367544323206e-13,1.0364,976.2384252022222,976.2384252022221
2025-01-20,19,39,116.44538583333348,949.3188413888889,832.8734555555554,1.0513,122.41903412658347,1435.8188298649166
2025-01-20,19,40,932.724657962963,932.7246579629631,1.1368683772161603e-13,1.0705,998.4817463493519,998.4817463493521
2025-01-20,19,41,890.202788888889,890.2027888888891,1.1368683772161603e-13,1.0678,950.5585379755557,950.558537975556
2025-01-20,19,42,157.26923305555442,607.846150585609,450.57691753005463,1.0233,160.93360618574886,852.5466457485063
2025-01-20,19,43,801.6960477777777,801.6960477777777,0.0,1.0085,808.5104641838888,808.5104641838888
2025-01-20,19,44,1607.688100925926,1598.0876175925926,-9.600483333333386,0.9891,1590.1643006258332,1585.4163815933332
2025-01-20,19,45,1493.8131444444448,1481.242438888889,-12.570705555555833,0.9088,1357.5773856711114,1351.865257066667
2025-01-20,19,46,772.587738425926,772.5877384259259,-1.1368683772161603e-13,1.1152,861.5898458925926,861.5898458925926
2025-01-20,19,47,182.61169999999973,182.6116999999997,-2.842170943040401e-14,1.467,267.8913638999996,267.8913638999996
2025-01-20,19,48,127.71096092592603,127.71096092592602,-1.4210854715202004e-14,1.4422,184.18474784737052,184.1847478473705
2025-01-20,19,49,53.526900000000296,53.5269000000003,7.105427357601002e-15,1.3448,71.9829751200004,71.98297512000042
2025-01-20,19,50,64.27080555555563,64.27080555555563,0.0,1.3635,87.63324337500009,87.63324337500009
2025-01-20,19,51,5.250546018518492,5.2505460185184925,8.881784197001252e-16,1.3811,7.251529106175889,7.251529106175891
2025-01-20,19,52,0.0,0.0,0.0,1.3717,0.0,0.0
2025-01-20,19,53,0.0,0.0,0.0,1.3149,0.0,0.0
2025-01-20,19,54,0.0,0.0,0.0,1.2115,0.0,0.0
2025-01-20,19,55,0.0,0.0,0.0,1.2192,0.0,0.0
2025-01-20,19,56,382.02160686321554,382.0216068632156,5.684341886080802e-14,1.2694,484.93822775216586,484.938227752166
2025-01-20,19,57,483.1025308333333,483.1025308333333,0.0,1.1614,561.0752793098333,561.0752793098333
2025-01-20,19,58,0.0,0.0,0.0,1.2081,0.0,0.0
2025-01-20,19,59,0.0,0.0,0.0,1.3892,0.0,0.0
2025-01-20,19,60,0.0,0.0,0.0,1.3618,0.0,0.0
2025-01-20,19,61,0.0,0.0,0.0,1.3405,0.0,0.0
2025-01-20,19,62,0.0,0.0,0.0,1.4187,0.0,0.0
2025-01-20,19,63,0.0,0.0,0.0,1.4146,0.0,0.0
2025-01-20,19,64,238.23695407407422,238.2369540740742,-2.842170943040401e-14,1.1219,267.27803877570386,267.2780387757038
2025-01-20,19,65,1075.6651018518517,1084.5791851851848,8.91408333333311,0.7258,780.717730924074,790.4224934490737
2025-01-20,19,66,1041.8891603703703,1054.9155742592593,13.02641388888901,0.6485,675.6651205001851,688.336564610602
2025-01-20,19,67,973.6626786111115,990.8014230555557,17.138744444444228,0.6905,672.3140795809725,690.0655341393056
2025-01-20,19,68,912.5483111111109,933.7993861111108,21.2510749999999,0.704,642.4340110222221,664.8751462222219
2025-01-20,19,69,917.6133904629628,942.9767960185184,25.363405555555573,0.7292,669.1236843255924,696.8661773222591
2025-01-20,19,70,875.3014031481484,904.7771392592595,29.47573611111102,0.7162,626.8908649347038,658.5566482388704
2025-01-20,19,71,789.2959000000001,263.209875,-526.0860250000001,0.6663,525.90785817,350.64229894125003
2025-01-20,19,72,784.1641032407408,464.00478333333353,-320.1593199074073,0.6454,506.0995122315741,402.7840996974538
2025-01-20,19,73,807.1916179629629,599.4341550000001,-207.7574629629628,0.6714,541.9484523003333,472.2042719836667
2025-01-20,19,74,816.0725749999999,665.3458208333334,-150.72675416666652,0.684,558.1936413,506.64509137500005
2025-01-20,19,75,796.0278314814814,840.0840916666666,44.05626018518524,0.6375,507.46774256944434,549.5965413715277
2025-01-20,19,76,819.5646059259261,1047.0899508333334,227.52534490740732,0.7842,642.7025639671112,910.3406271816945
2025-01-20,19,77,167.8426051314068,917.0959499999998,749.253344868593,1.0415,174.8080732443602,1345.3291112653196
2025-01-20,19,78,78.8191345370376,449.66691972222225,370.84778518518465,1.0562,83.24876989801912,670.7829159669071
2025-01-20,19,79,160.25124796296313,160.25124796296313,0.0,1.0197,163.4081975478335,163.4081975478335
2025-01-20,19,80,250.54261388888904,250.54261388888904,0.0,1.0348,259.26149685222236,259.26149685222236
2025-01-20,19,81,229.8036070370373,229.8036070370373,0.0,1.0335,237.50202787277806,237.50202787277806
2025-01-20,19,82,0.0,0.0002332238373972513,0.0002332238373972513,1.1717,0.0,0.000409902555417539
2025-01-20,19,83,0.0,0.0,0.0,1.3664,0.0,0.0
2025-01-20,19,84,0.0,0.0,0.0,1.3523,0.0,0.0
2025-01-20,19,85,0.0,0.0,0.0,1.3159,0.0,0.0
2025-01-20,19,86,0.0,0.0,0.0,1.3901,0.0,0.0
2025-01-20,19,87,0.0,0.0,0.0,1.4768,0.0,0.0
2025-01-20,19,88,0.0,0.0,0.0,1.2537,0.0,0.0
2025-01-20,19,89,1384.2120703703702,1384.2120703703702,0.0,0.8757,1212.1545100233332,1212.1545100233332
2025-01-20,19,90,1410.9611607407408,1410.9611607407405,-2.2737367544323206e-13,0.8418,1187.7471051115556,1187.7471051115554
2025-01-20,19,91,697.5800881584381,697.5800881584381,0.0,0.9121,636.2627984093115,636.2627984093115
2025-01-20,19,92,1445.6154944444443,1445.6154944444443,0.0,0.9261,1338.7845094049999,1338.7845094049999
2025-01-20,19,93,681.7686286111112,681.7686286111114,1.1368683772161603e-13,0.9616,655.5887132724446,655.5887132724447
2025-01-20,19,94,712.9694758333333,1130.6519763841561,417.68250055082285,0.9743,694.6461603044166,1305.0682507344168
2025-01-20,19,95,728.8732611111113,728.8732611111114,1.1368683772161603e-13,0.9724,708.7563591044446,708.7563591044448
2025-01-20,19,96,841.1935549999997,841.193555,2.2737367544323206e-13,1.0199,857.9333067444998,857.9333067445001
2025-01-20,19,97,941.6564650000001,1093.8766094444445,152.22014444444437,1.0643,1002.2049756995002,1245.2168252978333
2025-01-20,19,98,977.796007407407,1238.2428529995746,260.4468455921675,1.0807,1056.704145205185,1478.9015042523679
2025-01-20,19,99,999.4740472222222,999.4740472222221,-1.1368683772161603e-13,1.0949,1094.3241343036111,1094.324134303611
2025-01-20,19,100,1032.7710027777778,1032.7710027777775,-2.2737367544323206e-13,1.1047,1140.9021267686112,1140.9021267686112
2025-01-20,19,101,1069.4994018518514,1069.4994018518514,0.0,1.1188,1196.5559307918513,1196.5559307918513
2025-01-20,19,102,1062.185705648148,1062.185705648148,0.0,1.1494,1220.8762500719813,1220.8762500719813
2025-01-20,19,103,1055.9205075925925,1055.9205075925925,0.0,1.1513,1215.6812803913517,1215.6812803913517
2025-01-20,19,104,1073.3006592592594,1073.3006592592594,0.0,1.1168,1198.662176260741,1198.662176260741
2025-01-20,19,105,1093.4840463888888,1093.484046388889,2.2737367544323206e-13,1.0933,1195.506107916972,1195.5061079169725
