date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-01-17,12,2025-01-17T12:00:00,2025-01-17T12:00:00,15,14,True
2025-01-17,18,2025-01-17T18:00:00,2025-01-17T18:00:00,15,14,True
2025-01-18,0,2025-01-18T00:00:00,2025-01-18T00:00:00,16,15,True
2025-01-18,6,2025-01-18T06:00:00,2025-01-18T06:00:00,16,15,True
2025-01-18,12,2025-01-18T12:00:00,2025-01-18T12:00:00,16,15,True
2025-01-18,18,2025-01-18T18:00:00,2025-01-18T18:00:00,16,15,True
2025-01-19,0,2025-01-19T00:00:00,2025-01-19T00:00:00,17,16,True
2025-01-19,6,2025-01-19T06:00:00,2025-01-19T06:00:00,17,16,True
2025-01-19,12,2025-01-19T12:00:00,2025-01-19T12:00:00,17,16,True
2025-01-19,18,2025-01-19T18:00:00,2025-01-19T18:00:00,17,16,True
2025-01-20,0,2025-01-20T00:00:00,2025-01-20T00:00:00,18,17,True
2025-01-20,6,2025-01-20T06:00:00,2025-01-20T06:00:00,18,17,True
2025-01-20,12,2025-01-20T12:00:00,2025-01-20T12:00:00,18,17,True
2025-01-20,18,2025-01-20T18:00:00,2025-01-20T18:00:00,18,17,True
2025-01-21,0,2025-01-21T00:00:00,2025-01-21T00:00:00,19,18,True
2025-01-21,6,2025-01-21T06:00:00,2025-01-21T06:00:00,19,18,True
2025-01-21,12,2025-01-21T12:00:00,2025-01-21T12:00:00,19,18,True
2025-01-21,18,2025-01-21T18:00:00,2025-01-21T18:00:00,19,18,True
2025-01-22,0,2025-01-22T00:00:00,2025-01-22T00:00:00,20,19,True
2025-01-22,6,2025-01-22T06:00:00,2025-01-22T06:00:00,20,19,True
2025-01-22,12,2025-01-22T12:00:00,2025-01-22T12:00:00,20,19,True
2025-01-22,18,2025-01-22T18:00:00,2025-01-22T18:00:00,20,19,True
2025-01-23,0,2025-01-23T00:00:00,2025-01-23T00:00:00,21,20,True
2025-01-23,6,2025-01-23T06:00:00,2025-01-23T06:00:00,21,20,True
2025-01-23,12,2025-01-23T12:00:00,2025-01-23T12:00:00,21,20,True
2025-01-23,18,2025-01-23T18:00:00,2025-01-23T18:00:00,21,20,True
2025-01-24,0,2025-01-24T00:00:00,2025-01-24T00:00:00,22,21,True
2025-01-24,6,2025-01-24T06:00:00,2025-01-24T06:00:00,22,21,True
2025-01-24,12,2025-01-24T12:00:00,2025-01-24T12:00:00,22,21,True
2025-01-24,18,2025-01-24T18:00:00,2025-01-24T18:00:00,22,21,True
2025-01-25,0,2025-01-25T00:00:00,2025-01-25T00:00:00,23,22,True
2025-01-25,6,2025-01-25T06:00:00,2025-01-25T06:00:00,23,22,True
2025-01-25,12,2025-01-25T12:00:00,2025-01-25T12:00:00,23,22,True
2025-01-25,18,2025-01-25T18:00:00,2025-01-25T18:00:00,23,22,True
2025-01-26,0,2025-01-26T00:00:00,2025-01-26T00:00:00,24,23,True
2025-01-26,6,2025-01-26T06:00:00,2025-01-26T06:00:00,24,23,True
2025-01-26,12,2025-01-26T12:00:00,2025-01-26T12:00:00,24,23,True
2025-01-26,18,2025-01-26T18:00:00,2025-01-26T18:00:00,24,23,True
2025-01-27,0,2025-01-27T00:00:00,2025-01-27T00:00:00,25,24,True
2025-01-27,6,2025-01-27T06:00:00,2025-01-27T06:00:00,25,24,True
2025-01-27,12,2025-01-27T12:00:00,2025-01-27T12:00:00,25,24,True
2025-01-27,18,2025-01-27T18:00:00,2025-01-27T18:00:00,25,24,True
2025-01-28,0,2025-01-28T00:00:00,2025-01-28T00:00:00,26,25,True
2025-01-28,6,2025-01-28T06:00:00,2025-01-28T06:00:00,26,25,True
2025-01-28,12,2025-01-28T12:00:00,2025-01-28T12:00:00,26,25,True
2025-01-28,18,2025-01-28T18:00:00,2025-01-28T18:00:00,26,25,True
2025-01-29,0,2025-01-29T00:00:00,2025-01-29T00:00:00,27,26,True
2025-01-29,6,2025-01-29T06:00:00,2025-01-29T06:00:00,27,26,True
2025-01-29,12,2025-01-29T12:00:00,2025-01-29T12:00:00,27,26,True
2025-01-29,18,2025-01-29T18:00:00,2025-01-29T18:00:00,27,26,True
2025-01-30,0,2025-01-30T00:00:00,2025-01-30T00:00:00,28,27,True
2025-01-30,6,2025-01-30T06:00:00,2025-01-30T06:00:00,28,27,True
2025-01-30,12,2025-01-30T12:00:00,2025-01-30T12:00:00,28,27,True
2025-01-30,18,2025-01-30T18:00:00,2025-01-30T18:00:00,28,27,True
2025-01-31,0,2025-01-31T00:00:00,2025-01-31T00:00:00,29,28,True
2025-01-31,6,2025-01-31T06:00:00,2025-01-31T06:00:00,29,28,True
2025-01-31,12,2025-01-31T12:00:00,2025-01-31T12:00:00,29,28,True
2025-01-31,18,2025-01-31T18:00:00,2025-01-31T18:00:00,29,28,True
2025-02-01,0,2025-02-01T00:00:00,2025-02-01T00:00:00,30,29,True
2025-02-01,6,2025-02-01T06:00:00,2025-02-01T06:00:00,30,29,True
2025-02-01,12,2025-02-01T12:00:00,2025-02-01T12:00:00,30,29,True
2025-02-01,18,2025-02-01T18:00:00,2025-02-01T18:00:00,30,29,True
2025-02-02,0,2025-02-02T00:00:00,2025-02-02T00:00:00,31,30,True
2025-02-02,6,2025-02-02T06:00:00,2025-02-02T06:00:00,31,30,True
2025-02-02,12,2025-02-02T12:00:00,2025-02-02T12:00:00,31,30,True
2025-02-02,18,2025-02-02T18:00:00,2025-02-02T18:00:00,31,30,True
2025-02-03,0,2025-02-03T00:00:00,2025-02-03T00:00:00,32,31,True
2025-02-03,6,2025-02-03T06:00:00,2025-02-03T06:00:00,32,31,True
2025-02-03,12,2025-02-03T12:00:00,2025-02-03T12:00:00,32,31,True
2025-02-03,18,2025-02-03T18:00:00,2025-02-03T18:00:00,32,31,True
2025-02-04,0,2025-02-04T00:00:00,2025-02-04T00:00:00,33,32,True
2025-02-04,6,2025-02-04T06:00:00,2025-02-04T06:00:00,33,32,True
2025-02-04,12,2025-02-04T12:00:00,2025-02-04T12:00:00,33,32,True
2025-02-04,18,2025-02-04T18:00:00,2025-02-04T18:00:00,33,32,True
2025-02-05,0,2025-02-05T00:00:00,2025-02-05T00:00:00,34,33,True
2025-02-05,6,2025-02-05T06:00:00,2025-02-05T06:00:00,34,33,True
2025-02-05,12,2025-02-05T12:00:00,2025-02-05T12:00:00,34,33,True
2025-02-05,18,2025-02-05T18:00:00,2025-02-05T18:00:00,34,33,True
2025-02-06,0,2025-02-06T00:00:00,2025-02-06T00:00:00,35,34,True
2025-02-06,6,2025-02-06T06:00:00,2025-02-06T06:00:00,35,34,True
2025-02-06,12,2025-02-06T12:00:00,2025-02-06T12:00:00,35,34,True
2025-02-06,18,2025-02-06T18:00:00,2025-02-06T18:00:00,35,34,True
2025-02-07,0,2025-02-07T00:00:00,2025-02-07T00:00:00,36,35,True
2025-02-07,6,2025-02-07T06:00:00,2025-02-07T06:00:00,36,35,True
2025-02-07,12,2025-02-07T12:00:00,2025-02-07T12:00:00,36,35,True
