strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-01,12,98,16:30-16:40,697.234,707.7435166666666,10.509516666666514,True
D,2025-01-01,12,99,16:40-16:50,742.4229111111114,749.4477777777778,7.024866666666412,True
D,2025-01-01,12,100,16:50-17:00,787.6118222222219,791.1520388888887,3.5402166666667654,True
D,2025-01-01,12,101,17:00-17:10,832.8273499999999,832.8562999999999,0.028950000000008913,True
D,2025-01-01,12,102,17:10-17:20,832.9116805555554,832.9358055555555,0.024125000000026375,True
D,2025-01-01,12,103,17:20-17:30,832.9960111111111,833.015311111111,0.01929999999993015,True
D,2025-01-01,12,104,17:30-17:40,833.0803416666666,833.0948166666666,0.014474999999947613,True
D,2025-01-01,12,105,17:40-17:50,833.1646722222221,833.1743222222221,0.009650000000078762,True
D,2025-01-01,12,106,17:50-18:00,833.2490027777777,833.2538277777777,0.004824999999982538,True
D,2025-01-01,18,115,19:20-19:30,0.0,613.7884628817345,613.7884628817345,True
D,2025-01-01,18,121,20:20-20:30,59.307005381733106,833.3333333333333,774.0263279516001,True
