date,slot_i,start,price,contract_kwh,net_actual_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_start,soc_end,soc_balance_residual,power_balance_slack,grid_import_kwh,unused_contract_kwh,pv_curtail_kwh,supply_surplus_kwh,battery_dump_kwh,physical_balance_residual,execution_mode
2025-02-01,0,00:00,0.4276,445.46166666666664,423.96000000000004,0.0,0.0,0.0,0.0,1633.2873991408042,1633.2873991408042,0.0,21.50166666666661,423.96000000000004,21.50166666666661,0.0,21.50166666666661,0.0,0.0,measured_current_mpc
2025-02-01,1,00:10,0.4248,1273.9556666666665,422.0303666666667,833.3333333333333,0.0,0.0,0.0,1633.2873991408042,2423.856814182899,2.2737367544323206e-13,18.59196666666662,1255.3636999999999,18.59196666666662,0.0,18.59196666666662,0.0,0.0,measured_current_mpc
2025-02-01,2,00:20,0.4245,1279.0169833333332,415.4073166666667,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,863.6096666666665,415.4073166666667,863.6096666666665,0.0,863.6096666666665,0.0,0.0,measured_current_mpc
2025-02-01,3,00:30,0.4269,1253.7733333333333,410.7166666666667,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,843.0566666666666,410.7166666666667,843.0566666666666,0.0,843.0566666666666,0.0,0.0,measured_current_mpc
2025-02-01,4,00:40,0.4272,1283.6471166666665,430.29479999999995,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,853.3523166666666,430.29479999999995,853.3523166666666,0.0,853.3523166666666,0.0,0.0,measured_current_mpc
2025-02-01,5,00:50,0.4271,1283.3109166666668,424.4105833333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,858.9003333333335,424.4105833333333,858.9003333333335,0.0,858.9003333333335,0.0,0.0,measured_current_mpc
2025-02-01,6,01:00,0.4285,1268.1883333333333,406.0516666666666,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,862.1366666666667,406.0516666666666,862.1366666666667,0.0,862.1366666666667,0.0,0.0,measured_current_mpc
2025-02-01,7,01:10,0.4311,503.49944999999985,436.7501833333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,66.74926666666653,436.7501833333333,66.74926666666653,0.0,66.74926666666653,0.0,0.0,measured_current_mpc
2025-02-01,8,01:20,0.4302,567.5126432857232,451.7976833333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,115.71495995238996,451.7976833333333,115.71495995238996,0.0,115.71495995238996,0.0,0.0,measured_current_mpc
2025-02-01,9,01:30,0.4279,1245.2749999999999,446.08,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,799.1949999999999,446.08,799.1949999999999,0.0,799.1949999999999,0.0,0.0,measured_current_mpc
2025-02-01,10,01:40,0.4312,512.5564333333333,471.7663333333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,40.790099999999995,471.7663333333333,40.790099999999995,0.0,40.790099999999995,0.0,0.0,measured_current_mpc
2025-02-01,11,01:50,0.4333,522.96,448.02596666666665,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,74.93403333333339,448.02596666666665,74.93403333333339,0.0,74.93403333333339,0.0,0.0,measured_current_mpc
2025-02-01,12,02:00,0.4311,530.8416666666665,397.4033333333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,133.43833333333316,397.4033333333333,133.43833333333316,0.0,133.43833333333316,0.0,0.0,measured_current_mpc
2025-02-01,13,02:10,0.4293,1314.2799499999999,434.0906333333333,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,880.1893166666666,434.0906333333333,880.1893166666666,0.0,880.1893166666666,0.0,0.0,measured_current_mpc
2025-02-01,14,02:20,0.4324,539.2804833333333,490.5609166666666,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,48.71956666666671,490.5609166666666,48.71956666666671,0.0,48.71956666666671,0.0,0.0,measured_current_mpc
2025-02-01,15,02:30,0.4367,521.915,503.22,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,18.694999999999936,503.22,18.694999999999936,0.0,18.694999999999936,0.0,0.0,measured_current_mpc
2025-02-01,16,02:40,0.4348,523.5572999999999,474.07281666666665,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,49.48448333333329,474.07281666666665,49.48448333333329,0.0,49.48448333333329,0.0,0.0,measured_current_mpc
2025-02-01,17,02:50,0.4335,532.9919,461.38439999999997,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,71.60750000000002,461.38439999999997,71.60750000000002,0.0,71.60750000000002,0.0,0.0,measured_current_mpc
2025-02-01,18,03:00,0.4357,528.3683333333332,476.94166666666666,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,51.42666666666656,476.94166666666666,51.42666666666656,0.0,51.42666666666656,0.0,0.0,measured_current_mpc
2025-02-01,19,03:10,0.4374,524.3550333333332,483.39955,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,40.95548333333318,483.39955,40.95548333333318,0.0,40.95548333333318,0.0,0.0,measured_current_mpc
2025-02-01,20,03:20,0.4371,530.7000333333334,486.6019166666666,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,44.09811666666678,486.6019166666666,44.09811666666678,0.0,44.09811666666678,0.0,0.0,measured_current_mpc
2025-02-01,21,03:30,0.4356,545.0249999999999,498.84833333333336,0.0,0.0,0.0,0.0,2423.856814182899,2423.856814182899,0.0,46.176666666666506,498.84833333333336,46.176666666666506,0.0,46.176666666666506,0.0,0.0,measured_current_mpc
