date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-09-01,243,0,q4_2,B0,FORMAL_FROZEN,5590.369496544771,1,1,,,50608.11241658869,50608.11241658869,50608.112365980574,42868.89318273356,0.0,0.0,0.0,0.0,0.06028559999685967,2.2737367544323206e-13,0.0,0.0,0.8,70179.91459209312,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-02,244,0,q4_2,B0,FORMAL_FROZEN,6000.0,1,1,,,45313.25515798533,45313.25515798533,45313.2551126721,46146.871027205816,0.0,0.0,0.0,0.0,0.05839399999968009,9.094947017729282e-13,0.0,0.0,0.8,64094.81844723788,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-03,245,0,q4_2,B0,FORMAL_FROZEN,6000.0,1,1,,,45843.31182898119,45843.31182898119,45843.31178313787,44430.71301082235,0.0,0.0,0.0,0.0,0.05374819999997271,9.094947017729282e-13,0.0,0.0,0.8,64936.38079185543,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-04,246,0,q4_2,B0,FORMAL_FROZEN,6000.0,1,1,,,45770.38902954133,45770.38902954133,45770.38898377096,42275.79010121786,0.0,0.0,0.0,0.0,0.059965699998429045,9.094947017729282e-13,0.0,0.0,0.8,65028.85105066634,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-05,247,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,25578.772526932324,25578.772526932324,25578.77250135355,43992.806654633074,8144.161535978177,0.0,-1.1368683772161603e-13,8144.161535978178,0.03802729999733856,9.094947017729282e-13,0.0,0.0,0.8,46363.63974573043,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-06,248,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,19579.033757905087,19579.033757905087,19579.03373832605,45530.70701976791,16720.15414673152,0.0,1.1368683772161603e-13,16720.154146731515,0.035686000002897345,1.8189894035458565e-12,0.0,0.0,0.8,37604.66870521216,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-07,249,0,q4_2,B0,FORMAL_FROZEN,7016.119153758595,1,1,,,34802.49821576251,34802.49821576251,34802.498180960014,45784.81727526413,4582.768657550712,0.0,0.0,4582.768657550712,0.03738240000529913,6.821210263296962e-13,0.0,0.0,0.8,50898.770106114694,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-08,250,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,36196.22928081911,36196.22928081911,36196.22924462288,47167.701695050324,0.0,0.0,1.1368683772161603e-13,0.0,0.053312699994421564,9.094947017729282e-13,0.0,0.0,0.8,58280.206728888676,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-09,251,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,37131.623270081225,37131.623270081225,37131.62323294961,42853.47615733448,0.0,0.0,1.1368683772161603e-13,0.0,0.036835699997027405,1.8189894035458565e-12,0.0,0.0,0.8,59459.218540009904,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-09-10,252,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,37906.29992166761,37906.29992166761,37906.29988376133,45666.864594023435,0.0,0.0,-1.1368683772161603e-13,0.0,0.04284409999672789,4.547473508864641e-13,0.0,0.0,0.8,58695.38932493985,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
