date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-08-01,212,0,q4_2,B0,FORMAL_FROZEN,5149.101318997799,1,1,,,29585.94702893337,29585.947028933373,29585.94699934742,46973.58526995696,536.8678933221416,0.0,-1.1368683772161603e-13,536.8678933221416,0.04021649999776855,1.8189894035458565e-12,0.0,0.0,0.8,51842.41343355534,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-02,213,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,23173.69505368747,23173.695053687465,23173.69503051377,45381.59398785297,9116.134213404994,0.0,0.0,9116.134213404992,0.03658459999860497,4.547473508864641e-13,0.0,0.0,0.8,42501.070872566466,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-03,214,0,q4_2,B0,FORMAL_FROZEN,6733.242577559283,1,1,,,41758.87293581019,41758.8729358102,41758.87289405128,42362.396950694565,0.0,0.0,0.0,0.0,0.04974620000575669,2.2737367544323206e-13,0.0,0.0,0.8,57735.199551564416,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-04,215,0,q4_2,B0,FORMAL_FROZEN,5135.407624860502,1,1,,,54042.90168973917,54042.90168973917,54042.90163569627,46078.201155292976,0.0,0.0,0.0,0.0,0.040065699999104254,1.8189894035458565e-12,0.0,0.0,0.8,74682.9754717827,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-05,216,0,q4_2,B0,FORMAL_FROZEN,5101.6814766656835,1,1,,,53133.23670243215,53133.23670243215,53133.23664929891,48156.17776586373,0.0,0.0,1.1368683772161603e-13,0.0,0.03941549999581184,4.547473508864641e-13,0.0,0.0,0.8,73930.963269773,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-06,217,0,q4_2,B0,FORMAL_FROZEN,5086.619790084544,1,1,,,52793.03711692806,52793.03711692806,52793.03706413502,45324.526284364525,0.0,0.0,0.0,0.0,0.03989260000525974,1.8189894035458565e-12,0.0,0.0,0.8,72118.17980050996,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-07,218,0,q4_2,B0,FORMAL_FROZEN,5925.539742140333,1,1,,,52593.86105685793,52593.86105685793,52593.861004264065,43924.7851206238,0.0,0.0,0.0,0.0,0.04229289999784669,1.1368683772161603e-13,0.0,0.0,0.8,72652.71554392362,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-08,219,0,q4_2,B0,FORMAL_FROZEN,5099.401592443227,1,1,,,28643.87790353956,28643.87790353956,28643.877874895683,42161.352142255426,6174.334394408775,0.0,0.0,6174.334394408775,0.03851299999951152,1.8189894035458565e-12,0.0,0.0,0.8,50289.85947424651,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-09,220,0,q4_2,B0,FORMAL_FROZEN,5209.430584957905,1,1,,,22085.93945126413,22085.93945126413,22085.939429178205,44662.909104320206,14401.752159277477,0.0,0.0,14401.752159277474,0.037887799997406546,4.547473508864641e-13,0.0,0.0,0.8,41306.14865738187,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-08-10,221,0,q4_2,B0,FORMAL_FROZEN,6818.846758375175,1,1,,,39085.467864942846,39085.467864942846,39085.467825857384,43753.28400078791,4019.0720976590646,0.0,0.0,4019.072097659065,0.03893719999905443,7.958078640513122e-13,0.0,0.0,0.8,55246.512234301605,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
