date,plan_kwh,plan_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,soc_00_kwh,soc_24_kwh,load_mae_kw,pv_mae_kw,net_mae_kw,scenario_count,pred_expected_emergency_cost,pred_cvar_cost
2025-01-01,125352.02047729565,78933.95136104863,2465.973133333336,11716.040231008348,90649.99159205698,26628.64922393962,19507.788555903197,28444.746259259253,6000.0,10699.140118523617,1226.2516645833334,1468.7909319444448,1371.9282909722217,1,0.0,0.0
2025-01-02,92328.03715477238,58685.45899276197,1337.0669766666674,5976.340253435001,64661.79924619697,24531.836901427705,24302.5037329516,638.0826796296212,10699.140118523617,8354.995843783516,139.05151874999996,61.15045208333332,171.52149305555554,1,0.0,0.0
2025-01-03,95376.85768812257,60215.30293260966,0.0,0.0,60215.30293260966,12199.217726636734,8659.761347306396,46306.59895879223,8354.995843783516,10800.0,1907.9954646604942,85.90598857323238,1965.8697893448375,1,0.0,0.0
2025-01-04,56059.091499664515,30903.55561810471,0.0,0.0,30903.55561810471,16955.816207120268,16356.558487805552,10897.68974701647,10800.0,9644.373139434223,429.9406261574077,79.23395785984853,486.98099721170064,1,0.0,0.0
2025-01-05,53347.38201312645,30037.943392402638,33863.7535234094,159322.77544735797,189360.7188397606,10705.198958511031,14326.308038641837,0.0,9644.373139434223,4698.961972585477,1504.6666925925924,53.073449053030345,1486.9182737163296,1,0.0,0.0
2025-01-06,86601.91424504423,54817.439501318564,5484.905054747473,30903.48846541593,85720.9279667345,22420.609847580432,21364.16142649242,301.2414453703709,4698.961972585477,3449.21659801591,206.52885470679,59.46239460227274,223.3097902041244,2,0.0,0.0
2025-01-07,91852.33070348654,58732.23163329488,2619.7379842003306,15977.096283703904,74709.3279169988,23850.070399457072,22264.752453184345,300.5514580808083,3449.21659801591,2606.2702793484596,130.20791358024692,100.5746832070707,208.68427852132433,3,0.0,0.0
2025-01-08,129066.03647955695,88494.02616773061,0.0,0.0,88494.02616773061,20904.85256218294,13643.290413111532,32104.242372152206,2606.2702793484596,8057.063925109228,148.91868156250015,114.21324289930556,232.32485772569459,4,0.0,0.0
2025-01-09,122711.01747904069,85855.53230375779,0.0,0.0,85855.53230375779,15188.28055601431,13670.471628885938,30006.88222691232,8057.063925109228,8055.989669374829,115.30479687499997,86.86998833333338,161.77461270833345,5,0.0,0.0
2025-01-10,70994.15619470473,45383.590138606756,0.0,0.0,45383.590138606756,13264.292595850162,9370.425725137202,21597.94673232511,8055.989669374829,10762.306536556818,860.3721569097228,86.5293076388889,851.2495262152783,6,16092.640970116148,48277.92291034845
2025-01-11,50721.765670846886,31021.451208800758,0.0,0.0,31021.451208800758,12562.129560384677,13579.903367676769,6984.500569805642,10762.306536556818,8365.314022823883,214.26038086805596,52.046868576388874,225.89472041666704,7,13815.279577843572,48353.478522452504
2025-01-12,76329.19100873783,48960.943396221905,11511.753503084976,57998.6134839399,106959.5568801618,14869.92807119949,17935.665251043345,0.0,8365.314022823883,3566.315245972445,634.7146318749993,63.023836423611115,674.2861439930548,8,14299.553944485067,57198.21577794027
2025-01-13,96526.2968489603,62679.90321486086,0.0,0.0,62679.90321486086,23204.80562736345,20129.403524307654,5215.300820904509,3566.315245972445,4362.0724200164705,131.86503906249996,112.2081908680556,190.45912784722253,9,13532.157918948687,60894.71063526909
2025-01-14,95851.6793373491,62486.00620933072,0.0,0.0,62486.00620933072,23084.791748450236,20462.68830769907,3955.49137993127,4362.0724200164705,4692.661423270376,120.2261602083332,83.29007406250001,173.9351103819445,9,13430.391761839837,60436.76292827927
2025-01-15,105874.46836854801,71046.7729827684,0.0,0.0,71046.7729827684,21942.957680756073,17591.398307968433,11426.077229093713,4692.661423270376,6966.616924695435,118.62326069444453,58.29214309027778,145.07223635416682,9,8361.244919577128,37625.60213809708
2025-01-16,95142.16754309666,62165.57226051371,10.281629696969503,56.32276747999894,62221.89502799371,22371.71409356106,20515.09346707323,4177.966512972469,6966.616924695435,6565.481178287465,123.05399500000006,100.81553277777778,187.42837625,9,4627.314884940549,20822.91698223247
2025-01-17,69710.83961897569,42003.73351637377,0.0,0.0,42003.73351637377,15093.727462984743,10179.39740063384,22126.203756624793,6565.481178287465,10154.621329747299,873.2028931944448,73.0753063541667,930.3080412847227,9,4421.345859118514,19896.056366033314
2025-01-18,49488.6850851668,28041.71009865253,0.0,0.0,28041.71009865253,13283.210244368216,14274.027633530302,7334.418207662216,10154.621329747299,7710.034797693246,221.81443243055585,77.2831985763889,259.7966176736114,9,4189.0352593035095,18850.65866686579
2025-01-19,77752.9088245809,48310.72870886393,10863.28360771803,57121.445353940755,105432.17406280468,18746.607775207132,18848.469465744904,24.403656170033287,7710.034797693246,5626.59718250584,649.986088055555,86.35931597222225,623.1381434722216,9,4513.82751700649,20312.223826529204
2025-01-20,94552.75347497793,61215.83408280794,17.81977096801336,103.47822409590006,61319.31230690384,24253.0866844411,20828.205900057194,3093.293911562041,5626.59718250584,6680.238706493728,106.22240909722224,64.86567368055556,142.61684048611127,9,4643.111233507681,20894.000550784567
2025-01-21,93713.819105409,60972.51712884728,0.0,0.0,60972.51712884728,20707.457254638513,18431.316735966328,7917.12015340349,6680.238706493728,6896.743828519603,120.29939500000015,194.8586415277778,288.5540965277782,9,4648.7466250434045,20919.359812695322
2025-01-22,93149.27711749238,60476.70243490631,0.0,0.0,60476.70243490631,23797.965479489365,21309.850214339058,1743.7459995643019,6896.743828519603,7010.921781714268,103.04265186342585,88.64260466435185,154.05347310185184,9,4598.957285378814,20695.307784204662
2025-01-23,94351.74282689826,61395.420517379505,0.0,0.0,61395.420517379505,23733.75470733935,20875.20386731941,1855.9468174338847,7010.921781714268,7522.341525566623,110.37201159722225,62.77959988425925,137.10455358796298,9,4604.514880139763,20720.31696062893
2025-01-24,67430.65499053274,40505.05592680417,0.0,0.0,40505.05592680417,14704.302615720158,10500.03722515404,23414.500699966622,7522.341525566623,10404.056777233827,875.4614877662042,127.82315554398147,998.3279938194448,9,4407.439042446365,19833.475691008643
2025-01-25,47440.639681746965,26774.724339676453,0.0,0.0,26774.724339676453,12966.95132344543,14269.078665259261,10320.91641800524,10404.056777233827,7664.657359642312,207.48602502314856,149.8444479976852,356.68499494213,9,4128.915103174958,18580.11796428731
2025-01-26,75304.00554182017,46660.67918388659,12194.725207781306,63310.57382183353,109971.25300572012,17123.685907358726,17278.365613018184,15.30114414983177,7664.657359642312,5696.61565359352,672.5530150462956,97.49860026620365,686.3129913310179,9,4476.61684184104,20144.775788284678
2025-01-27,93563.01290714339,60569.24702021983,0.0,0.0,60569.24702021983,21805.495398689018,18881.079702997893,6416.875872563388,5696.61565359352,6480.719429164167,126.82670386574077,123.73428291666667,225.99042692129652,9,4595.791396595421,20681.061284679396
2025-01-28,90230.70773773154,58317.876810255984,378.1138489976034,2374.435989943314,60692.312800199295,23308.855692313417,20904.631147278073,1265.844480582683,6480.719429164167,6558.02549743238,125.75209728009249,86.73577380787033,185.21573101851837,9,4583.873302917224,20627.429863127505
2025-01-29,93597.44349918689,60452.135205645835,0.0,0.0,60452.135205645835,20689.579769482625,17385.568713864894,8871.817740791392,6558.02549743238,7859.885750698598,125.40583638888904,224.91279187499998,308.0252496527783,9,4691.823483568695,21113.20567605913
2025-01-30,90054.42399247354,58381.24678369296,0.0,0.0,58381.24678369296,20374.970448178556,19589.73879224158,5485.716469869896,7859.885750698598,6539.8821294119025,89.53754027777778,117.34552708333334,181.17180048611127,9,4689.662316577006,21103.480424596528
2025-01-31,65393.7099212521,38932.076345498994,0.0,0.0,38932.076345498994,16022.184079223716,10392.63315758123,20967.85586627628,6539.8821294119025,10785.06334214753,872.2794550347226,98.65284656249997,906.9316482638894,9,4438.057410049422,19971.2583452224
