date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-03-01,59,0,1225.3921841666665,1225.3921841666665,0.0,0.3078,377.1757142865,377.1757142865
2025-03-01,59,1,1229.9234858333334,1229.9234858333334,0.0,0.3173,390.2547220549167,390.2547220549167
2025-03-01,59,2,1249.0362499999999,1249.0362499999999,0.0,0.3389,423.2983851249999,423.2983851249999
2025-03-01,59,3,1249.1372516666665,1249.1372516666665,0.0,0.3436,429.20355967266664,429.20355967266664
2025-03-01,59,4,1273.8008208333333,1273.8008208333333,0.0,0.3291,419.20785013625,419.20785013625
2025-03-01,59,5,476.89399999999995,476.89399999999995,0.0,0.3081,146.93104139999997,146.93104139999997
2025-03-01,59,6,0.0,0.0,0.0,0.3022,0.0,0.0
2025-03-01,59,7,466.1212550000001,466.1212550000001,0.0,0.3383,157.68882056650003,157.68882056650003
2025-03-01,59,8,1304.605833333333,1304.605833333333,0.0,0.3831,499.7944947499999,499.7944947499999
2025-03-01,59,9,442.86769833333324,442.86769833333324,0.0,0.3706,164.1267690023333,164.1267690023333
2025-03-01,59,10,461.6570350000001,461.6570350000001,0.0,0.345,159.27167707500004,159.27167707500004
2025-03-01,59,11,507.2948333333333,507.2948333333333,0.0,0.3242,164.46498496666666,164.46498496666666
2025-03-01,59,12,44.7936030644608,44.7936030644608,0.0,0.2938,13.160360580338581,13.160360580338581
2025-03-01,59,13,0.0,0.0,0.0,0.3226,0.0,0.0
2025-03-01,59,14,0.0,0.0,0.0,0.3811,0.0,0.0
2025-03-01,59,15,0.0,0.0,0.0,0.3636,0.0,0.0
2025-03-01,59,16,492.0870999999999,492.0870999999999,0.0,0.3342,164.45550881999998,164.45550881999998
2025-03-01,59,17,528.2173333333335,528.2173333333335,0.0,0.3263,172.3573158666667,172.3573158666667
2025-03-01,59,18,502.45741749999985,502.45741749999985,0.0,0.311,156.26425684249995,156.26425684249995
2025-03-01,59,19,491.3760333333333,491.3760333333333,0.0,0.3055,150.11537818333332,150.11537818333332
2025-03-01,59,20,514.7812500000001,514.7812500000001,0.0,0.3049,156.95680312500005,156.95680312500005
