date,day_index,plan_j,B_kwh,A_kwh,delta_A_minus_B_kwh,price_yuan_per_kwh,plan_reference_fee_yuan,final_regular_fee_yuan
2025-06-01,151,0,533.1464374999999,533.1464374999999,0.0,0.5243,279.52867718125,279.52867718125
2025-06-01,151,1,513.852235,513.852235,0.0,0.5142,264.22281923699995,264.22281923699995
2025-06-01,151,2,547.5239166666668,547.5239166666668,0.0,0.535,292.92529541666676,292.92529541666676
2025-06-01,151,3,1414.3709958333334,1414.3709958333334,0.0,0.5077,718.0761545845834,718.0761545845834
2025-06-01,151,4,1412.5410341666666,1412.5410341666666,0.0,0.4869,687.76622953575,687.76622953575
2025-06-01,151,5,546.9476666666666,546.9476666666666,0.0,0.4953,270.9031793,270.9031793
2025-06-01,151,6,0.0,0.0,0.0,0.4969,0.0,0.0
2025-06-01,151,7,0.0,0.0,0.0,0.4887,0.0,0.0
2025-06-01,151,8,0.0,0.0,0.0,0.479,0.0,0.0
2025-06-01,151,9,0.0,0.0,0.0,0.4779,0.0,0.0
2025-06-01,151,10,0.0,0.0,0.0,0.4928,0.0,0.0
2025-06-01,151,11,0.0,0.0,0.0,0.4969,0.0,0.0
2025-06-01,151,12,1349.1905608333332,1349.1905608333332,0.0,0.4617,622.9212819367499,622.9212819367499
2025-06-01,151,13,1342.7580383333332,1342.7580383333332,0.0,0.4772,640.7641358926666,640.7641358926666
2025-06-01,151,14,1366.684083333333,1366.684083333333,0.0,0.5155,704.5256449583331,704.5256449583331
2025-06-01,151,15,549.3505524999999,549.3505524999999,0.0,0.461,253.25060470249997,253.25060470249997
2025-06-01,151,16,562.0022491666665,562.0022491666665,0.0,0.432,242.78497163999992,242.78497163999992
2025-06-01,151,17,0.0,0.0,0.0,0.4559,0.0,0.0
2025-06-01,151,18,1397.0995016666666,1397.0995016666666,0.0,0.4425,618.2165294875,618.2165294875
2025-06-01,151,19,1382.6726475,1382.6726475,0.0,0.434,600.0799290150001,600.0799290150001
2025-06-01,151,20,1371.483,1371.483,0.0,0.4424,606.7440792,606.7440792
2025-06-01,151,21,549.5664883333332,549.5664883333332,0.0,0.4324,237.63254955533327,237.63254955533327
