date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-01-09,8,q4_3,B2,B2_a0.8_l0.10_q50,101619.56375063118,101619.56375063118,0.0,0.0,21689.07205738617,19569.487655892928,25038.197711467204,0.0,5196.841011722429,5144.850211055093,5400.0,4.547473508864641e-13,104084.332392515,101170.89209053539
2025-01-10,9,q4_3,B2,B2_a0.8_l0.10_q50,40763.91211247752,40763.91211247752,0.0,0.0,17285.956201942787,14377.42749748864,22396.398289411005,2788.536261164366,5144.850211055093,6388.608888671287,5764.438010399802,4.547473508864641e-13,42214.00219008031,40561.60520131086
2025-01-11,10,q4_3,B2,B2_a0.8_l0.10_q50,42088.00824625512,42088.00824625512,0.0,0.0,18754.779901272366,17319.839167448146,17551.074506130753,1298.2938023395077,6388.608888671287,5924.24184731165,5448.359608278857,9.094947017729282e-13,47006.26717615488,42088.00824625513
2025-01-12,11,q4_3,B2,B2_a0.8_l0.10_q50,103052.09445153183,77935.05526246005,25117.039189071787,3464.7112475278554,29706.21073333214,28235.146667241203,2282.2089351098093,0.0,5924.24184731165,4343.569972594568,5319.13408952123,1.8189894035458565e-12,65354.3285829902,77935.05526246005
2025-01-13,12,q4_3,B2,B2_a0.8_l0.10_q50,80543.27443306103,80543.27443306103,0.0,0.0,28279.766944312007,24835.38061088566,10543.647670955064,0.0,4343.569972594568,4993.322782896841,5316.212895180791,4.547473508864641e-13,76110.49820923519,80804.46686584433
2025-01-14,13,q4_3,B2,B2_a0.8_l0.10_q50,76524.48049277847,76455.8367200808,68.64377269768518,12.182762037037037,27168.820849773343,23884.505911972094,5680.834867483304,0.0,4993.322782896841,5591.449527607066,5221.818647073132,9.094947017729282e-13,73596.08312765606,76194.64428729744
2025-01-15,14,q4_3,B2,B2_a0.8_l0.10_q50,81006.03196121739,79765.7268497495,1240.305111467894,181.70306350247495,26878.100215018156,24193.172207492808,6381.9992617899725,0.0,5591.449527607066,5588.4116181356985,5704.058621848094,9.094947017729282e-13,70790.32568499137,80025.61861434949
2025-01-16,15,q4_3,B2,B2_a0.8_l0.10_q50,76540.7088943898,76513.48013667605,27.228757713748198,3.8504924999997456,29061.72373027312,26914.480315682864,5688.003111415888,0.0,5588.4116181356985,4788.430254495604,5743.495034429556,9.094947017729282e-13,69692.76428072977,76702.49898103437
2025-01-17,16,q4_3,B2,B2_a0.8_l0.10_q50,38476.07324150357,38476.07324150357,0.0,0.0,17446.381328660947,15528.05167741359,22289.247194684536,4199.161116937367,4788.430254495604,4971.517190608198,5759.335957720303,1.1368683772161603e-13,37329.791376837995,38446.42813909524
2025-01-18,17,q4_3,B2,B2_a0.8_l0.10_q50,29022.94891356748,29022.94891356748,0.0,0.0,23046.207511550256,19409.218357593818,9865.905660764043,1121.9779666666666,4971.517190608198,6375.9568023725815,5758.349676059498,9.094947017729282e-13,28042.013215128674,28603.68340701748
2025-01-19,18,q4_3,B2,B2_a0.8_l0.10_q50,106063.87180344807,73590.38346376261,32473.48833968545,4859.122446438489,27622.43878763894,27484.230054617594,2120.3590203531176,0.0,6375.9568023725815,3609.980895413131,5597.430550237293,9.094947017729282e-13,54283.82820162756,74277.6761460293
2025-01-20,19,q4_3,B2,B2_a0.8_l0.10_q50,80058.3692417348,76392.59587712289,3665.773364611901,517.5092961848031,27618.762406857462,23780.461917925084,6219.919076929518,0.0,3609.980895413131,4744.631679777744,5540.158020082863,9.094947017729282e-13,69989.97000263764,76311.1953215229
2025-01-21,20,q4_3,B2,B2_a0.8_l0.10_q50,71784.90624787754,71784.90624787754,0.0,0.0,28656.723193134443,25760.56817210208,8509.812482458767,0.0,4744.631679777744,4776.763268666854,5584.473187193455,9.094947017729282e-13,68539.44799603634,71798.5843437526
2025-01-22,21,q4_3,B2,B2_a0.8_l0.10_q50,75649.30953294711,75649.30953294711,0.0,0.0,26155.157080332116,23907.88188677243,6496.648701030657,0.0,4776.763268666854,4388.603684504018,5586.128076150415,9.094947017729282e-13,72231.10298920546,75700.39182026793
2025-01-23,22,q4_3,B2,B2_a0.8_l0.10_q50,81032.85725729498,79795.24108192921,1237.6161753657468,179.23478281907992,28206.47894273395,24856.106144343757,6498.396648076346,0.0,4388.603684504018,4946.98276127848,5753.25944963738,9.094947017729282e-13,70632.15467550326,79597.86874459448
2025-01-24,23,q4_3,B2,B2_a0.8_l0.10_q50,37597.30817369581,37597.30817369581,0.0,0.0,17136.05932306682,15325.907703213388,22258.64865765138,5691.233589190011,4946.98276127848,5048.750851583374,5832.838587352522,2.2737367544323206e-13,33000.28050336491,37526.02109558471
2025-01-25,24,q4_3,B2,B2_a0.8_l0.10_q50,25004.138123773748,25004.138123773748,0.0,0.0,21943.169489046508,18230.14454369868,7398.932970248306,2611.380298969443,5048.750851583374,6649.60964140716,5952.866887463885,1.8189894035458565e-12,21318.79867907998,24602.145029357085
2025-01-26,25,q4_3,B2,B2_a0.8_l0.10_q50,102888.54145500506,73726.02401670867,29162.51743829636,4409.462346379626,28048.15157333323,27131.21344521245,1683.4382492445025,0.0,6649.60964140716,4659.612523199201,5788.972562038629,9.094947017729282e-13,58668.830588633136,74037.68816643924
2025-01-27,26,q4_3,B2,B2_a0.8_l0.10_q50,72711.38741542416,72711.38741542416,0.0,0.0,26056.150316710067,22772.98900829922,6711.89013327453,0.0,4659.612523199201,5373.809008087428,5877.735629029856,9.094947017729282e-13,63933.12701144302,72943.41729044028
2025-01-28,27,q4_3,B2,B2_a0.8_l0.10_q50,74422.88464093105,73162.28643552994,1260.5982054011072,178.5802812581254,28706.828815205467,25729.891219891924,4763.142073378055,0.0,5373.809008087428,5485.811310659159,5885.308655471023,9.094947017729282e-13,67991.70618984266,73106.40018347465
2025-01-29,28,q4_3,B2,B2_a0.8_l0.10_q50,68914.36201149081,68405.62452545187,508.7374860389297,115.01065442948358,28569.393568671814,25389.240639481137,6907.108145923288,0.0,5485.811310659159,5826.508330399763,5894.168649947016,9.094947017729282e-13,61018.02614035107,68231.92184873554
2025-01-30,29,q4_3,B2,B2_a0.8_l0.10_q50,72830.85772599449,71268.5535318424,1562.3041941521058,264.0697871536082,27202.15649991268,25094.779659631524,6886.284902727821,6.083333333333485,5826.508330399763,5180.519504656269,5907.966702593347,2.2737367544323206e-13,62044.554039565715,71402.57630690903
2025-01-31,30,q4_3,B2,B2_a0.8_l0.10_q50,34295.12117198795,34295.12117198795,0.0,0.0,16226.21434040003,14591.105315927049,20098.9867990722,5227.15173611317,5180.519504656269,5193.6825807414525,5980.561184123879,2.2737367544323206e-13,31286.73964926853,34265.869560746825
