date,day_index,event_hour,branch,level,label,soc_event,scenario_k,scenario_weights,scenario_source_days,history_source_days,expected_cash,scenario_cvar_cash,level1,level2_throughput,level3_curtailment,pred_emergency_kwh,pred_unused_kwh,pred_curtailment_kwh,solve_seconds,max_eq_residual,epsilon,risk_lambda,alpha,contract_changed_kwh,contracts_locked,schema_hash
2025-01-09,8,0,q4_2,B0,B0,5196.841038188668,1,1,,,70361.2321716616,70361.2321716616,70361.23210130037,55470.869971346736,0.0,0.0,1.1368683772161603e-13,0.0,0.0442553000029875,1.8189894035458565e-12,0.0,0.0,0.8,94257.91039360444,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-10,9,0,q4_2,B0,B0,5099.581206300683,1,1,,,35576.236445376206,35576.236445376206,35576.23640979997,48570.18273430849,0.0,0.0,-1.1368683772161603e-13,0.0,0.0396965000036289,4.547473508864641e-13,0.0,0.0,0.8,68542.81823352871,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-11,10,0,q4_2,B0,B0,6552.343839168231,1,1,,,23765.193190234353,23765.193190234353,23765.193166469162,48371.605547698506,0.0,0.0,0.0,0.0,0.054751999996369705,9.094947017729282e-13,0.0,0.0,0.8,52102.59660593352,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-12,11,0,q4_2,B0,B0,6576.805671651584,1,1,,,54679.39764762228,54679.39764762228,54679.3975929429,53788.05125340727,0.0,0.0,0.0,0.0,0.04556260000390466,9.094947017729282e-13,0.0,0.0,0.8,77591.69471182609,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-13,12,0,q4_2,B0,B0,5936.329164284021,1,1,,,70170.11147966229,70170.11147966229,70170.11140949216,60702.913486350655,0.0,0.0,0.0,0.0,0.038810099998954684,9.094947017729282e-13,0.0,0.0,0.8,94421.40150449405,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-14,13,0,q4_2,B0,B0,5499.553064194606,1,1,,,70067.70286992392,70067.70286992392,70067.70279985624,58060.00932300647,0.0,0.0,0.0,0.0,0.037311799998860806,2.2737367544323206e-13,0.0,0.0,0.8,93909.84529175833,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-15,14,0,q4_2,B0,B0,5902.589329844677,1,1,,,68469.68202250279,68469.68202250279,68469.68195403309,49527.73602322307,0.0,0.0,0.0,0.0,0.036787199998798314,2.2737367544323206e-13,0.0,0.0,0.8,92627.11785071909,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-16,15,0,q4_2,B0,B0,5989.131212944099,1,1,,,69132.80820670676,69132.80820670676,69132.80813757397,59443.669908541,0.0,0.0,0.0,0.0,0.046968299997388385,9.094947017729282e-13,0.0,0.0,0.8,93677.89079673604,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-17,16,0,q4_2,B0,B0,5044.013943469142,1,1,,,33988.87637519424,33988.87637519424,33988.87634120535,55945.953810409395,0.0,0.0,0.0,0.0,0.0563174999988405,9.094947017729282e-13,0.0,0.0,0.8,68082.35806976432,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-18,17,0,q4_2,B0,B0,5209.430584957905,1,1,,,22838.877654163854,22838.877654163854,22838.877631324984,48618.09834210236,0.0,0.0,0.0,0.0,0.04771230000187643,9.094947017729282e-13,0.0,0.0,0.8,51026.582873766,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-19,18,0,q4_2,B0,B0,6602.553431520652,1,1,,,53523.97905184143,53523.97905184143,53523.978998317434,52174.97472510441,0.0,0.0,0.0,0.0,0.05575400000088848,1.8189894035458565e-12,0.0,0.0,0.8,76488.15622450595,False,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
