timestamp,date,day_index,slot,interval,branch,level,label,plan_owner_day_index,plan_j,B_kwh,A_kwh,Q_kwh,price_yuan_per_kwh,load_kwh,pv_kwh,qL,qB,u,gL,gB,kappa,eL,eB,e_kwh,x,y,I_kwh,S0_kwh,S1_kwh,target_soc_kwh,regular_fee_yuan,emergency_fee_yuan,cash_fee_yuan,physics_residual,schema_hash
2025-01-09T00:00:00,2025-01-09,8,0,0:00-0:10,q4_3,B0,B0,7,143,1434.821625,1434.821625,1434.821625,0.4537,610.64,0.0,610.64,824.181625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,824.181625,0.0,1434.821625,5196.841011722429,5978.728353920062,5987.410426764524,650.9785712625,0.0,650.9785712625,9.094947017729282e-13,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T00:10:00,2025-01-09,8,1,0:10-0:20,q4_3,B0,B0,8,0,1447.7161716666665,1447.7161716666665,1447.7161716666665,0.4191,593.6329,0.0,593.6329,833.3333333333333,20.74993833333326,0.0,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,1426.966233333333,5978.728353920062,6769.297768962157,6777.979841806619,606.7378475454999,0.0,606.7378475454999,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T00:20:00,2025-01-09,8,2,0:20-0:30,q4_3,B0,B0,8,1,1454.1863283333332,1454.1863283333332,1454.1863283333332,0.4194,599.5246833333333,0.0,599.5246833333333,833.3333333333333,21.32831166666665,0.0,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,1432.8580166666666,6769.297768962157,7559.867184004252,7568.549256848714,609.885746103,0.0,609.885746103,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T00:30:00,2025-01-09,8,3,0:30-0:40,q4_3,B0,B0,8,2,619.9705,619.9705,619.9705,0.438,627.2983333333333,0.0,619.9705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.327833333333274,619.9705,7559.867184004252,7552.142969455106,7568.549256848714,271.547079,0.0,271.547079,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T00:40:00,2025-01-09,8,4,0:40-0:50,q4_3,B0,B0,8,3,602.9157941666666,602.9157941666666,602.9157941666666,0.4088,633.51145,0.0,602.9157941666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.595655833333353,602.9157941666666,7552.142969455106,7519.892316475122,7568.549256848714,246.47197665533332,0.0,246.47197665533332,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T00:50:00,2025-01-09,8,5,0:50-1:00,q4_3,B0,B0,8,4,1431.0417775,1431.0417775,1431.0417775,0.4364,642.2027499999999,0.0,642.2027499999999,788.8390275000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.8390275000002,0.0,1431.0417775,7519.892316475122,8268.250726714783,8359.118671890808,624.5066317010001,0.0,624.5066317010001,9.094947017729282e-13,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:00:00,2025-01-09,8,6,1:00-1:10,q4_3,B0,B0,8,5,612.6411666666667,612.6411666666667,612.6411666666667,0.5088,659.1383333333333,0.0,612.6411666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.49716666666666,612.6411666666667,8268.250726714783,8219.238409577742,8359.118671890808,311.7118256,0.0,311.7118256,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:10:00,2025-01-09,8,7,1:10-1:20,q4_3,B0,B0,8,6,630.1793966666667,630.1793966666667,630.1793966666667,0.5012,662.83455,0.0,630.1793966666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.655153333333374,630.1793966666667,8219.238409577742,8184.816855619284,8359.118671890808,315.8459136093333,0.0,315.8459136093333,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:20:00,2025-01-09,8,8,1:20-1:30,q4_3,B0,B0,8,7,626.7464816666668,626.7464816666668,626.7464816666668,0.478,664.9293333333333,0.0,626.7464816666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.182851666666465,626.7464816666668,8184.816855619284,8144.568596010276,8359.118671890808,299.5848182366667,0.0,299.5848182366667,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:30:00,2025-01-09,8,9,1:30-1:40,q4_3,B0,B0,8,8,1454.1919166666667,1454.1919166666667,1454.1919166666667,0.4707,661.2866666666666,0.0,661.2866666666666,792.90525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.90525,0.0,1454.1919166666667,8144.568596010276,8896.784563621844,9149.688086932903,684.488135175,0.0,684.488135175,9.094947017729282e-13,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:40:00,2025-01-09,8,10,1:40-1:50,q4_3,B0,B0,8,9,648.2077591666667,648.2077591666667,648.2077591666667,0.4535,640.2898166666666,0.0,640.2898166666666,7.917942500000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.917942500000095,0.0,648.2077591666667,8896.784563621844,8904.296183426519,9149.688086932903,293.96221878208337,0.0,293.96221878208337,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T01:50:00,2025-01-09,8,11,1:50-2:00,q4_3,B0,B0,8,10,653.6435241666667,653.6435241666667,653.6435241666667,0.4965,654.3395833333333,0.0,653.6435241666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6960591666666005,653.6435241666667,8904.296183426519,8903.562472642217,9149.688086932903,324.53400974875,0.0,324.53400974875,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T02:00:00,2025-01-09,8,12,2:00-2:10,q4_3,B0,B0,8,11,638.26975,638.26975,638.26975,0.5399,684.5016666666667,0.0,638.26975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.23191666666662,638.26975,8903.562472642217,8854.829753554963,9149.688086932903,344.60183802500006,0.0,344.60183802500006,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T02:10:00,2025-01-09,8,13,2:10-2:20,q4_3,B0,B0,8,12,658.2261358333334,658.2261358333334,658.2261358333334,0.4534,661.4266666666666,0.0,658.2261358333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2005308333332323,658.2261358333334,8854.829753554963,8851.456097836653,9149.688086932903,298.43972998683336,0.0,298.43972998683336,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T02:20:00,2025-01-09,8,14,2:20-2:30,q4_3,B0,B0,8,13,1499.9357591666667,1499.9357591666667,1499.9357591666667,0.4312,659.6080333333333,0.0,659.6080333333333,833.3333333333333,6.994392500000117,0.0,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,1492.9413666666665,8851.456097836653,9642.025512878748,9940.257501974998,646.7722993526667,0.0,646.7722993526667,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
2025-01-09T02:30:00,2025-01-09,8,15,2:30-2:40,q4_3,B0,B0,8,14,732.7981650006063,732.7981650006063,732.7981650006063,0.4938,678.3316666666666,0.0,678.3316666666666,54.46649833393974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.46649833393974,0.0,732.7981650006063,9642.025512878748,9693.696970151454,10009.430584957905,361.85573387729943,0.0,361.85573387729943,0.0,08ad55a129c188b78a6bf379ee5514cf466d54acf150f52d0326740697aa261f
