策略,原计划电量,最终合同计划行电量,生效合同自然日电量,上调电量,下调电量,实际普通取电,未利用合同,充电,放电,紧急购电,真正弃光,储电量下限,储电量上限,正式期起点储电量,正式期终点储电量,保留计划费用,下调费用,上调费用,紧急费用,总费用
第二问同口径,20609692.806090895,20609692.806090895,20609613.872007564,0.0,0.0,19597588.735664614,1012025.136342948,5532824.430521867,4983031.072681347,565008.4443916262,1673850.0305823877,1200.0,10800.0,10785.06334214753,7107.244602388408,12940544.060167473,0.0,0.0,2993013.3477607504,15933557.407928225
第三问完整模型,21072971.170345187,20636519.817508515,20636450.65996685,145552.6914844619,582004.0443211345,19750328.55474536,886122.1052214871,5604912.402962323,5047523.955857091,381890.2496116297,1635876.5656184256,1200.0,10800.0,10780.375027467098,7509.743830126475,12945675.760849737,153517.95690227023,168073.59472696678,1939312.1594564994,15206579.471935473
