insurance_budget_pct,selected_lambda,january_cost_premium_pct,january_emergency_reduction_kwh
0.1,0.01,0.047146097329793094,119.50687624429702
0.2,0.02,0.16337473417993184,464.21183726366144
0.5,0.02,0.16337473417993184,464.21183726366144
