name,k_target,window_days,terminal_value,floor_policy,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,emergency_share,curtailed_kwh,end_soc_kwh,realtime_soc_min_kwh,realtime_soc_max_kwh,hard_floor_interval_count,near_floor_interval_count,near_floor_hours,high_risk_emergency_kwh,solve_time_median_s,solve_time_p90_s,mean_scenario_count
window=28,9,28,0.8,Q0.25,15909124.190449871,12863264.168781241,3045860.02166863,20586640.44085248,579040.7003118368,0.027357527331623784,2670430.536217227,7512.2896645807405,1200.0,10800.0,361,879,146.5,379250.167391435,0.2846837000006417,0.33272272000012887,9.0
K=9,9,42,0.8,Q0.25,15933591.160142256,12940577.812381506,2993013.3477607504,20609692.80609089,565008.444391626,0.02668318375347803,2685875.1669253353,7107.244602388408,1200.0,10800.0,374,820,136.66666666666666,374228.5406745821,0.30481619999955,0.3998270100008085,9.0
window=56,9,56,0.8,Q0.25,15973100.26394263,13013923.919402376,2959176.344540254,20647643.951937824,552886.9023839884,0.026078917843289768,2717728.118841038,7262.25499141271,1200.0,10800.0,373,829,138.16666666666666,363695.6102332444,0.271093149999615,0.3177918699995644,9.0
