name,k_target,window_days,terminal_value,floor_policy,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,emergency_share,curtailed_kwh,end_soc_kwh,realtime_soc_min_kwh,realtime_soc_max_kwh,hard_floor_interval_count,near_floor_interval_count,near_floor_hours,high_risk_emergency_kwh,solve_time_median_s,solve_time_p90_s,mean_scenario_count
K=5,5,42,0.8,Q0.25,16150117.481467128,14917076.171786157,1233041.3096809697,23316750.376178164,212266.62859462766,0.009021483071373954,5087020.624002075,7146.537937593042,1200.0,10800.0,99,189,31.5,150887.21098783336,0.12183689999983471,0.15460860999965007,5.0
K=7,7,42,0.8,Q0.25,16154009.749560554,12774568.195413638,3379441.5541469157,20220194.809798118,645842.0758143608,0.030951832365430202,2383237.509137097,7014.127988895584,1200.0,10800.0,328,852,142.0,399068.56581176515,0.19391089999999167,0.22835070000028282,7.0
K=9,9,42,0.8,Q0.25,15933591.160142256,12940577.812381506,2993013.3477607504,20609692.80609089,565008.444391626,0.02668318375347803,2685875.1669253353,7107.244602388408,1200.0,10800.0,374,820,136.66666666666666,374228.5406745821,0.30481619999955,0.3998270100008085,9.0
K=12,12,42,0.8,Q0.25,16338855.988761168,12863946.983031826,3474909.005729343,20198028.852057185,644185.2896962769,0.030907718600096938,2370894.4774820693,7051.422673694725,1200.0,10800.0,389,880,146.66666666666666,401123.33740466664,0.4014149999993606,0.4893451000003551,12.0
K=15,15,42,0.8,Q0.25,16107510.991086649,12848330.22198643,3259180.7691002195,20319363.37254177,613009.0330541901,0.029285215319899006,2455816.265908801,7057.4766855989565,1200.0,10800.0,385,862,143.66666666666666,394265.81966360455,0.5697841499995775,0.6910485299993524,15.0
