name,k_target,window_days,terminal_value,floor_policy,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,plan_kwh,emergency_kwh,emergency_share,curtailed_kwh,end_soc_kwh,realtime_soc_min_kwh,realtime_soc_max_kwh,hard_floor_interval_count,near_floor_interval_count,near_floor_hours,high_risk_emergency_kwh,solve_time_median_s,solve_time_p90_s,mean_scenario_count
hard_only,9,42,0.8,hard_only,15889531.954965446,12984093.178409137,2905438.7765563084,20711200.06721314,473411.28394884843,0.022346942131788578,2685868.034601543,7107.244602388408,1200.0,10800.0,1294,1971,328.5,342956.39756062673,0.2782905499998378,0.3233326900008251,9.0
Q0.10,9,42,0.8,Q0.10,15626612.836014625,12971366.882464355,2655245.953550269,20681561.76865054,500077.9162831306,0.023609027616442367,2685740.6351381037,7107.244602388408,1200.0,10800.0,487,1237,206.16666666666666,351861.116081127,0.2720388499992623,0.32503240999976696,9.0
K=9,9,42,0.8,Q0.25,15933591.160142256,12940577.812381506,2993013.3477607504,20609692.80609089,565008.444391626,0.02668318375347803,2685875.1669253353,7107.244602388408,1200.0,10800.0,374,820,136.66666666666666,374228.5406745821,0.30481619999955,0.3998270100008085,9.0
Q0.50,9,42,0.8,Q0.50,16344592.90430563,12901156.621683108,3443436.282622522,20517569.60384879,651466.6969279484,0.03077450894181917,2689489.199889956,7201.331807447699,1200.0,10800.0,261,627,104.5,395250.84544809425,0.2751234999996086,0.32378939000009266,9.0
