variant,cash_total_yuan,cash_mean_yuan_per_day,cash_cvar95_yuan_per_day,cash_worst_day_yuan,emergency_total_kwh,emergency_days,curtailment_total_kwh,unused_contract_total_kwh,soc_end_kwh,max_physics_residual
A_none,19748719.862840615,59127.903780959925,146639.0893005786,196769.8344367536,1034521.4382187822,254,1375341.937507774,1827679.8860983262,5292.419197432814,1.8189894035458565e-12
B_PV_only,19368136.880765863,57988.43377474809,146926.6671444719,196767.43716088092,977552.3159760144,247,1294108.108947541,1838064.2458570506,5292.419197432814,1.8189894035458565e-12
C_revision_only,16863586.124614626,50489.77881621145,99346.9254393657,122792.08815669056,316648.5516182659,201,1412131.5717117349,2174046.7524079187,6044.694262428217,1.8189894035458565e-12
D_both,16370299.289312504,49012.87212369013,98401.36440127784,123973.32134672385,295316.02674145857,201,1316566.1812534945,1767365.5584367933,5860.769011131398,1.8189894035458565e-12
