hour,price_yuan_per_kwh,load_kwh,pv_kwh,B_kwh,A_kwh,I_kwh,S1_kwh,e_kwh,kappa
0.0,0.4018,583.6283333333333,0.0,0.0,0.0,0.0,5912.942040528368,0.0,0.0
0.16666666666666666,0.4172,608.87235,0.0,507.1075058333333,507.1075058333333,507.1075058333333,5805.672476095446,0.0,0.0
0.3333333333333333,0.4432,588.7070666666666,0.0,501.9778499999998,501.9778499999998,501.9778499999998,5714.251854645811,0.0,0.0
0.5,0.4545,576.6099999999999,0.0,0.0,0.0,0.0,5106.451547435915,0.0,0.0
0.6666666666666666,0.4306,578.8831666666666,0.0,0.0,0.0,0.0,4496.255112170073,0.0,0.0
0.8333333333333334,0.4163,570.3465333333334,0.0,0.0,0.0,0.0,3895.057078531912,0.0,0.0
1.0,0.423,558.4833333333333,0.0,541.1746666666667,541.1746666666667,541.1746666666667,3876.8121418894784,0.0,0.0
1.1666666666666667,0.4251,576.2068833333333,0.0,1399.8268141666665,1399.8268141666665,1399.8268141666665,4658.166614212581,0.0,0.0
1.3333333333333333,0.4471,598.7148333333333,0.0,1369.4864966666664,1369.4864966666664,1369.4864966666664,5389.384817827528,0.0,0.0
1.5,0.4647,608.8633333333332,0.0,496.083,496.083,496.083,5270.503908292081,0.0,0.0
1.6666666666666667,0.4242,609.9253333333334,0.0,563.0875166666667,563.0875166666667,563.0875166666667,5221.132514526727,0.0,0.0
1.8333333333333333,0.3948,597.5460499999999,0.0,1388.3055074999995,1388.3055074999995,1388.3055074999995,5971.312804632462,0.0,0.0
2.0,0.4046,583.8133333333333,0.0,1313.50425,1313.50425,1313.50425,6663.558390013298,0.0,0.0
2.1666666666666665,0.4188,591.5777666666667,0.0,1365.7124799999997,1365.7124799999997,1355.5343163932992,7388.311209175251,0.0,0.0
2.3333333333333335,0.4428,612.1886666666667,0.0,1389.5107954691414,1389.5107954691414,1313.045582783073,8053.202459818076,0.0,0.0
2.5,0.4554,625.1899999999999,0.0,1413.7929166666663,1413.7929166666663,1339.4757142857136,8730.833386997014,0.0,0.0
2.6666666666666665,0.4226,614.1450166666666,0.0,585.13078,585.13078,585.13078,8700.2496961844,0.0,0.0
2.8333333333333335,0.4067,594.0376833333332,0.0,603.0771675000001,603.0771675000001,603.0771675000001,8708.82530383631,0.0,0.0
3.0,0.4339,597.7716666666666,0.0,1425.4700833333332,1425.4700833333332,1425.4700833333332,9494.04896755083,0.0,0.0
3.1666666666666665,0.4641,644.1121333333333,0.0,539.1024158333333,539.1024158333333,539.1024158333333,9383.35900630055,0.0,0.0
3.3333333333333335,0.4401,658.9122833333333,0.0,549.6327141666666,549.6327141666666,549.6327141666666,9268.168226204358,0.0,0.0
3.5,0.3973,629.6883333333333,0.0,616.4541666666667,616.4541666666667,616.4541666666667,9254.21818967071,0.0,0.0
3.6666666666666665,0.4301,615.51845,0.0,0.0,0.0,0.0,8605.404775051888,0.0,0.0
3.8333333333333335,0.4868,621.4378333333333,0.0,585.5993425,585.5993425,585.5993425,8567.627688739754,0.0,0.0
4.0,0.5042,631.53,0.0,560.2095833333332,560.2095833333332,560.2095833333332,8492.449368626787,0.0,0.0
4.166666666666667,0.4678,630.7133333333334,0.0,564.0618325,564.0618325,564.0618325,8422.19251792614,0.0,0.0
4.333333333333333,0.4511,633.1071,0.0,595.2316691666666,595.2316691666666,595.2316691666666,8382.268308328306,0.0,0.0
4.5,0.4836,656.4266666666666,0.0,621.6285833333335,621.6285833333335,621.6285833333335,8345.587907814413,0.0,0.0
4.666666666666667,0.5218,695.3498500000001,0.0,1446.6297475,1446.6297475,1446.6297475,9058.314598733765,0.0,0.0
4.833333333333333,0.4992,673.2004,0.0,621.4508216666665,621.4508216666665,621.4508216666665,9003.765753571553,0.0,0.0
5.0,0.454,625.0466666666666,0.0,0.0,0.0,0.0,8344.908716717317,0.0,0.0
5.166666666666667,0.4893,666.4700499999999,0.0007499999999999,592.4205033333333,592.4205033333333,592.4205033333333,8266.854431563534,0.0,0.0
5.333333333333333,0.5288,719.0566833333334,0.0,575.3413808333332,575.3413808333332,575.3413808333332,8115.36520139017,0.0,0.0
5.5,0.4949,702.6700000000001,0.0,1316.2632685185176,1316.2632685185176,1316.2632685185176,8697.470887029911,0.0,0.0
5.666666666666667,0.4237,633.25825,0.01045,653.8951608333333,653.8951608333333,653.8951608333333,8717.058693401317,0.0,0.0
5.833333333333333,0.606,705.64,0.0,700.7535941666665,700.7535941666665,700.7535941666665,8711.90796939956,0.0,0.0
6.0,0.9447,870.5866666666667,0.0,0.0,0.0,0.0,7833.497508241678,37.25333333333344,0.0
