hour,jan_mean_price,jan_mean_net_MW
0.16666666666666666,0.41920967741935483,3.339500725806452
0.3333333333333333,0.41768387096774195,3.372038548387097
0.5,0.4136258064516129,3.4045445161290324
0.6666666666666666,0.4134193548387097,3.395556648387097
0.8333333333333333,0.4223677419354839,3.4054471419354844
1.0,0.4331258064516129,3.4689793548387104
1.1666666666666667,0.43203225806451623,3.5541648580645147
1.3333333333333335,0.42912903225806454,3.5725061709677415
1.5,0.4328709677419355,3.5407083870967746
1.6666666666666667,0.44087741935483865,3.5595494806451615
1.8333333333333335,0.4394838709677419,3.5930344709677415
2.0,0.43246774193548393,3.615141612903226
2.1666666666666665,0.4369967741935484,3.640940851612902
2.333333333333333,0.44347741935483875,3.6681003838709674
2.5,0.44556451612903225,3.692115806451613
2.6666666666666665,0.44753870967741927,3.714703951612903
2.833333333333333,0.4555387096774194,3.7501000032258065
3.0,0.4648967741935484,3.7779503225806454
3.1666666666666665,0.4648903225806452,3.7697616903225795
3.333333333333333,0.46482258064516124,3.8083693258064515
3.5,0.46579354838709686,3.84858741935484
3.6666666666666665,0.46135483870967736,3.7733286322580653
3.833333333333333,0.4668032258064516,3.7907694290322578
4.0,0.4787903225806451,3.9145899999999996
4.166666666666667,0.4768129032258066,3.9395795645161287
4.333333333333334,0.4687225806451614,3.895097464516129
4.5,0.46709032258064515,3.8725512903225816
4.666666666666667,0.47628709677419356,3.9252082774193546
4.833333333333334,0.47898064516129024,3.9573670935483882
5.0,0.47391290322580654,3.950206129032257
5.166666666666667,0.47787419354838717,3.9789429967741925
5.333333333333334,0.4920677419354838,4.035528464516129
5.5,0.4756483870967741,4.023168709677419
5.666666666666667,0.4274548387096774,3.9216104032258063
5.833333333333334,0.6355129032258063,4.247014870967742
6.0,0.979758064516129,4.816023225806452
6.166666666666667,1.023725806451613,4.888238319354839
6.333333333333334,0.9781967741935483,4.818429561290324
6.5,0.9897774193548388,4.8516438709677425
6.666666666666667,0.9920548387096775,4.86508750967742
6.833333333333334,0.9904645161290321,4.874582922580646
7.0,0.9870999999999998,4.821582177419354
7.166666666666667,0.9701387096774193,4.631061764516129
7.333333333333334,0.964090322580645,4.429999416129032
7.5,0.9320516129032259,4.1362046774193555
7.666666666666667,0.853158064516129,3.6702352741935487
7.833333333333334,1.031616129032258,3.922031135483871
8.0,1.3465774193548383,4.566386129032257
8.166666666666666,1.345332258064516,4.318269351612902
8.333333333333332,1.2649870967741939,3.8612284645161297
8.5,1.2584387096774194,3.628824596774193
8.666666666666666,1.2404483870967744,3.3739193935483875
8.833333333333332,1.2206322580645164,3.153492099999999
9.0,1.207264516129032,2.9769835483870977
9.166666666666666,1.1867580645161289,2.7481136258064516
9.333333333333332,1.167861290322581,2.47551604516129
9.5,1.1416193548387095,2.200065161290322
9.666666666666666,1.1077580645161287,1.958290564516129
9.833333333333332,1.1865000000000003,1.7495829935483866
10.0,1.3169709677419354,1.5296737096774187
10.166666666666666,1.3031709677419352,1.256179487096774
10.333333333333332,1.252216129032258,1.0271684451612904
10.5,1.2709064516129034,0.8763294354838708
10.666666666666666,1.3145451612903227,0.7452113258064514
10.833333333333332,1.0687419354838708,0.607740196774193
11.0,0.6762838709677419,0.48026532258064525
11.166666666666666,0.6213870967741933,0.39326387096774196
11.333333333333332,0.6695774193548388,0.3038772
11.5,0.6537677419354836,0.2205733870967742
11.666666666666666,0.6406161290322581,0.17257028387096776
11.833333333333332,0.6223096774193551,0.0042195580645159195
12.0,0.6009967741935484,-0.20868419354838702
12.166666666666666,0.6020580645161291,-0.21800789354838718
12.333333333333332,0.6171516129032258,-0.19206449677419354
12.5,0.6031806451612903,-0.2262391129032259
12.666666666666666,0.5556451612903225,-0.22507569354838736
12.833333333333332,0.7111935483870968,-0.06034313548387099
13.0,0.9784612903225807,0.17049846774193536
13.166666666666666,1.0100129032258063,0.23980641935483868
13.333333333333332,0.9788387096774194,0.31784963870967714
13.5,0.9888258064516129,0.4725771774193548
13.666666666666666,0.9862032258064516,0.6074289258064517
13.833333333333332,1.0916677419354837,0.780719180645161
14.0,1.2594967741935488,0.9899412096774192
14.166666666666666,1.2969870967741934,1.161849029032258
14.333333333333332,1.2712548387096774,1.3447523354838709
14.5,1.302341935483871,1.5586967741935482
14.666666666666666,1.3957161290322582,1.7731631387096778
14.833333333333332,1.1825580645161289,1.9937403645161287
15.0,0.7976903225806453,2.219357177419355
15.166666666666666,0.7719516129032259,2.4407493387096775
15.333333333333332,0.8448451612903227,2.68072354516129
15.5,0.8467838709677421,2.9581247580645162
15.666666666666666,0.8732612903225808,3.2654659516129043
15.833333333333332,0.9008709677419354,3.541711058064516
16.0,0.9150677419354839,3.784053548387096
16.166666666666668,0.9374806451612903,4.0462140806451625
16.333333333333336,0.9669935483870966,4.3225930483870965
16.5,0.9942580645161293,4.603429274193549
16.666666666666668,1.009825806451613,4.872012683870968
16.833333333333336,1.0124258064516127,5.043133816129033
17.0,1.0104612903225805,5.130636774193548
17.166666666666668,1.0174258064516128,5.21815216451613
17.333333333333336,1.0352193548387099,5.2313745741935485
17.5,1.0350161290322581,5.262854193548387
17.666666666666668,1.0037129032258063,5.36300264516129
17.833333333333336,1.091309677419355,4.823221887096775
18.0,1.2461903225806452,3.9479845161290315
18.166666666666668,1.2567548387096774,3.838941632258064
18.333333333333336,1.2364225806451614,3.9488023483870967
18.5,1.2364193548387097,3.9104612903225804
18.666666666666668,1.2116225806451613,3.9094029451612906
18.833333333333336,1.3049193548387095,3.917659151612904
19.0,1.4656000000000002,3.906274193548388
19.166666666666668,1.4815580645161288,3.9005946741935476
19.333333333333336,1.4591645161290319,3.906635003225807
19.5,1.4689483870967743,3.921793870967741
19.666666666666668,1.4715677419354842,3.9378251032258054
19.833333333333336,1.4612580645161288,3.9376805225806453
20.0,1.4547064516129027,3.930687741935484
20.166666666666668,1.4659806451612902,3.9427496774193553
20.333333333333336,1.4522354838709675,3.9531071096774193
20.5,1.460409677419355,3.956425161290323
20.666666666666668,1.5335193548387096,3.971312616129032
20.833333333333336,1.308390322580645,4.001765916129033
21.0,0.9129935483870967,4.030245806451612
21.166666666666668,0.8691354838709677,4.027108793548387
21.333333333333336,0.9135225806451612,3.9892205645161294
21.5,0.9135612903225808,4.024916451612903
21.666666666666668,0.9625999999999998,4.169455512903227
21.833333333333336,0.7478193548387096,3.7921952064516113
22.0,0.39032580645161297,3.1186232258064526
22.166666666666668,0.365058064516129,3.05617275483871
22.333333333333336,0.41789354838709675,3.166599306451614
22.5,0.39383225806451605,3.1545470967741935
22.666666666666668,0.39496129032258076,3.1677786903225797
22.833333333333336,0.4045806451612903,3.1686271516129034
23.0,0.4052935483870967,3.16617806451613
23.166666666666668,0.4076032258064516,3.228679829032257
23.333333333333336,0.40496774193548396,3.271833858064516
23.5,0.40326451612903236,3.281434193548387
23.666666666666668,0.4161387096774193,3.3209835354838715
23.833333333333336,0.4217322580645161,3.331289487096773
24.0,0.41588064516129025,3.305858064516129
