branch,date,interval,contract_purchase_kwh,realized_grid_import_kwh,price_yuan_per_kwh,all_day_contract_kwh,all_day_cash_yuan
q4_2,2025-03-20,10:00-10:10,0.0,0.0,1.0131,63940.494221237284,43714.53452465376
q4_2,2025-03-20,12:00-12:10,649.7717083333337,558.3116666666667,0.5158,63940.494221237284,43714.53452465376
q4_2,2025-03-20,14:00-14:10,0.0,0.0,0.8924,63940.494221237284,43714.53452465376
q4_2,2025-03-20,16:00-16:10,496.44890194444207,496.448901944442,0.9089,63940.494221237284,43714.53452465376
q4_2,2025-03-20,18:00-18:10,669.8570516358039,669.8570516358039,1.2488,63940.494221237284,43714.53452465376
q4_2,2025-03-20,20:00-20:10,0.0,0.0,1.2233,63940.494221237284,43714.53452465376
q4_2,2025-06-21,10:00-10:10,0.0,0.0,0.7212,38276.80516706691,20484.707219684333
q4_2,2025-06-21,12:00-12:10,0.0,0.0,0.2744,38276.80516706691,20484.707219684333
q4_2,2025-06-21,14:00-14:10,0.0,0.0,0.8133,38276.80516706691,20484.707219684333
q4_2,2025-06-21,16:00-16:10,252.56758333333312,27.004999999999995,0.5723,38276.80516706691,20484.707219684333
q4_2,2025-06-21,18:00-18:10,415.8856666666667,385.9016666666667,1.1012,38276.80516706691,20484.707219684333
q4_2,2025-06-21,20:00-20:10,0.0,0.0,1.1558,38276.80516706691,20484.707219684333
q4_2,2025-09-23,10:00-10:10,0.0,0.0,0.9784,64770.879793169384,45960.46306845187
q4_2,2025-09-23,12:00-12:10,0.0,0.0,0.3613,64770.879793169384,45960.46306845187
q4_2,2025-09-23,14:00-14:10,0.0,0.0,0.9188,64770.879793169384,45960.46306845187
q4_2,2025-09-23,16:00-16:10,428.9946875,428.9946875,0.8978,64770.879793169384,45960.46306845187
q4_2,2025-09-23,18:00-18:10,189.7529970483997,189.7529970483997,1.26,64770.879793169384,45960.46306845187
q4_2,2025-09-23,20:00-20:10,731.4328333333333,731.4328333333333,1.3115,64770.879793169384,45960.46306845187
q4_2,2025-12-21,10:00-10:10,0.0,0.0,1.3753,78508.21658381278,114807.75988253832
q4_2,2025-12-21,12:00-12:10,871.6957499999997,871.6957499999996,0.6418,78508.21658381278,114807.75988253832
q4_2,2025-12-21,14:00-14:10,0.0,0.0,1.3352,78508.21658381278,114807.75988253832
q4_2,2025-12-21,16:00-16:10,707.401707968104,707.401707968104,1.0104,78508.21658381278,114807.75988253832
q4_2,2025-12-21,18:00-18:10,513.2650766666662,513.2650766666662,1.2479,78508.21658381278,114807.75988253832
q4_2,2025-12-21,20:00-20:10,0.0,0.0,1.5483,78508.21658381278,114807.75988253832
