scenario,backend,selected,n_days,cash_total_yuan,cash_mean_yuan_per_day,cash_median_yuan_per_day,cash_p95_yuan_per_day,cash_cvar90_yuan_per_day,cash_cvar95_yuan_per_day,cash_worst_day_yuan,emergency_total_kwh,emergency_days,emergency_worst_day_kwh,curtailment_total_kwh,unused_contract_total_kwh,soc_end_kwh,max_physics_residual
q4_2_selected,q4-inheritance-v2,B0,334,16847774.116474297,50442.43747447394,47068.382987394,101044.5241446744,106661.7300772123,120655.93934775912,169670.87959503336,602942.4737897594,159,27217.739324916667,1644945.993485032,1052864.02832808,7393.238401079868,9.094947017729282e-13
q4_3_selected,q4-inheritance-v2,B1,334,16196781.453801906,48493.35764611349,47559.67455333228,86417.4649321347,90630.36923865417,100343.77067637019,122294.50199926303,433134.77477845416,197,11919.102895763423,1580593.154316607,883166.0836636026,7888.67225862134,9.094947017729282e-13
q4_3_backup,q4-inheritance-v2,B0,334,16154584.348044656,48367.01900612172,47397.313865262804,85965.23857132523,90336.40940651543,100695.5693228552,124845.13186048121,426253.50841747085,197,11866.365631435188,1612172.48779098,923318.8099269411,7854.280752885635,9.094947017729282e-13
q4_2_matched,q4-inheritance-v2,B0,334,16721939.68696782,50065.68768553239,46895.79537372514,100340.52431555468,105010.21880903578,118226.03530263602,170557.95349148454,565008.4443916262,169,26841.763062161826,1673850.0305823877,1011998.8756783388,7107.244602388408,9.094947017729282e-13
q4_3_matched,q4-inheritance-v2,B0,334,15981255.587061383,47848.07061994426,47441.90143667115,85371.10315761162,88944.87743821449,98752.03001216438,123986.4285593818,381890.2496116296,198,11064.0478845,1635876.5656184256,886105.600901299,7509.743830126475,9.094947017729282e-13
q4_3_event_semantics,q4-inheritance-v2,B0,334,16297528.144002885,48794.99444312241,47890.26249411743,92211.88160003428,92956.32038958251,102905.96820118882,124986.9986979078,445082.1242196765,200,11904.842378079464,1618709.7922476707,621781.5809669713,7854.280752885633,9.094947017729282e-13
