branch,date,interval,contract_purchase_kwh,realized_grid_import_kwh,price_yuan_per_kwh,all_day_contract_kwh,all_day_cash_yuan
q4_3,2025-03-20,10:00-10:10,0.0,0.0,1.0131,68225.15969967206,47019.05839356086
q4_3,2025-03-20,12:00-12:10,568.5948666666666,86.92766666666682,0.5158,68225.15969967206,47019.05839356086
q4_3,2025-03-20,14:00-14:10,0.0,0.0,0.8924,68225.15969967206,47019.05839356086
q4_3,2025-03-20,16:00-16:10,864.2589361111101,864.2589361111101,0.9089,68225.15969967206,47019.05839356086
q4_3,2025-03-20,18:00-18:10,683.8463058333335,682.3533333333332,1.2488,68225.15969967206,47019.05839356086
q4_3,2025-03-20,20:00-20:10,1.869643736126188e-05,1.869643736126188e-05,1.2233,68225.15969967206,47019.05839356086
q4_3,2025-06-21,10:00-10:10,0.0,0.0,0.7212,39423.904415407735,20701.4914189789
q4_3,2025-06-21,12:00-12:10,550.7026458333335,61.78821986133448,0.2744,39423.904415407735,20701.4914189789
q4_3,2025-06-21,14:00-14:10,0.0,0.0,0.8133,39423.904415407735,20701.4914189789
q4_3,2025-06-21,16:00-16:10,166.42385000000004,87.85504841269793,0.5723,39423.904415407735,20701.4914189789
q4_3,2025-06-21,18:00-18:10,494.2676458333332,385.9016666666667,1.1012,39423.904415407735,20701.4914189789
q4_3,2025-06-21,20:00-20:10,0.0,0.0,1.1558,39423.904415407735,20701.4914189789
q4_3,2025-09-23,10:00-10:10,0.0,0.0,0.9784,66135.25221795327,45379.37097149134
q4_3,2025-09-23,12:00-12:10,134.24812316089344,59.52778755198153,0.3613,66135.25221795327,45379.37097149134
q4_3,2025-09-23,14:00-14:10,0.0,0.0,0.9188,66135.25221795327,45379.37097149134
q4_3,2025-09-23,16:00-16:10,510.97079999999977,510.97079999999977,0.8978,66135.25221795327,45379.37097149134
q4_3,2025-09-23,18:00-18:10,0.0,0.0,1.26,66135.25221795327,45379.37097149134
q4_3,2025-09-23,20:00-20:10,711.10694598381,711.10694598381,1.3115,66135.25221795327,45379.37097149134
q4_3,2025-12-21,10:00-10:10,0.0,0.0,1.3753,85518.71739757103,115972.5983365015
q4_3,2025-12-21,12:00-12:10,905.7543333333332,803.2008095238098,0.6418,85518.71739757103,115972.5983365015
q4_3,2025-12-21,14:00-14:10,0.0,0.0,1.3352,85518.71739757103,115972.5983365015
q4_3,2025-12-21,16:00-16:10,1093.110866167896,1093.110866167896,1.0104,85518.71739757103,115972.5983365015
q4_3,2025-12-21,18:00-18:10,1444.8406666666665,1444.8406666666665,1.2479,85518.71739757103,115972.5983365015
q4_3,2025-12-21,20:00-20:10,0.0,0.0,1.5483,85518.71739757103,115972.5983365015
