branch,date,interval,emergency_kwh
q4_3,2025-03-20,09:10-10:10,472.5940687093871
q4_3,2025-06-21,无,0.0
q4_3,2025-09-23,18:30-18:40,1.0833333333333712
q4_3,2025-09-23,20:30-20:40,19.968143720542457
q4_3,2025-09-23,21:00-21:10,49.672831784643
q4_3,2025-09-23,21:40-21:50,79.84686756268218
q4_3,2025-12-21,06:10-06:20,73.14623333333338
q4_3,2025-12-21,06:50-07:00,38.83337827638252
q4_3,2025-12-21,08:00-08:20,172.52073333333328
q4_3,2025-12-21,09:00-11:00,4663.074342529171
q4_3,2025-12-21,20:20-22:10,2244.727882664008
