strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time,terminal_time,scenario_weight_sum,clip_rate,terminal_shortfall_expected_kwh,terminal_shortfall_binding_scenarios
D,2025-01-07,6,10616.171674382174,3,1,105311.27505815559,0.040323900000657886,9.094947017729282e-13,2.2737367544323206e-13,4,2025-01-08 00:10:00,2025-01-09 00:10:00,1.0,0.0,0.0,0
D,2025-01-07,12,5841.689419130258,3,1,90208.53534057115,0.034241899993503466,1.8189894035458565e-12,2.2737367544323206e-13,4,2025-01-08 00:10:00,2025-01-09 00:10:00,1.0,0.0,0.0,0
D,2025-01-07,18,10527.685286257683,3,1,65437.836811979,0.027544700002181344,1.8189894035458565e-12,2.2737367544323206e-13,4,2025-01-08 00:10:00,2025-01-09 00:10:00,1.0,0.0,0.0,0
D,2025-01-08,0,2540.6188413889527,4,1,150286.13798438947,0.07812310000008438,1.8189894035458565e-12,2.2737367544323206e-13,5,2025-01-09 00:10:00,2025-01-10 00:10:00,1.0,0.0,0.0,0
D,2025-01-08,6,10800.0,4,1,131372.75180371146,0.051820400010910816,9.094947017729282e-13,2.2737367544323206e-13,5,2025-01-09 00:10:00,2025-01-10 00:10:00,1.0,0.0,0.0,0
D,2025-01-08,12,10800.0,4,1,102467.0125721294,0.04477749999205116,1.8189894035458565e-12,2.8762059400833095e-13,5,2025-01-09 00:10:00,2025-01-10 00:10:00,1.0,0.0,0.0,0
D,2025-01-08,18,10800.0,4,1,78585.51586272697,0.03697059999103658,9.094947017729282e-13,2.2737367544323206e-13,5,2025-01-09 00:10:00,2025-01-10 00:10:00,1.0,0.0,0.0,0
D,2025-01-09,0,8057.09799385969,5,1,121326.06075463048,0.09018980000109877,9.094947017729282e-13,1.1368683772161603e-13,6,2025-01-10 00:10:00,2025-01-11 00:10:00,1.0,0.0,0.0,0
D,2025-01-09,6,10800.0,5,1,107989.62973491158,0.06266559999494348,9.094947017729282e-13,4.547473508864641e-13,6,2025-01-10 00:10:00,2025-01-11 00:10:00,1.0,0.0,0.0,0
D,2025-01-09,12,10800.0,5,1,83842.06630473299,0.042692300005001016,9.094947017729282e-13,4.547473508864641e-13,6,2025-01-10 00:10:00,2025-01-11 00:10:00,1.0,0.0,0.0,0
D,2025-01-09,18,10800.0,5,1,57186.81077735785,0.03949290000309702,9.094947017729282e-13,5.115907697472721e-13,6,2025-01-10 00:10:00,2025-01-11 00:10:00,1.0,0.0,0.0,0
D,2025-01-10,0,7793.176122106773,6,1,102789.93439837314,0.12420999999449123,1.8189894035458565e-12,1.1368683772161603e-13,7,2025-01-11 00:10:00,2025-01-12 00:10:00,0.9999999999999999,0.0,0.0,0
D,2025-01-10,6,10800.0,6,1,84941.44382997842,0.05977940000593662,9.094947017729282e-13,2.8421709430404007e-13,7,2025-01-11 00:10:00,2025-01-12 00:10:00,0.9999999999999999,0.0,0.0,0
D,2025-01-10,12,10800.0,6,1,71653.90286753878,0.050181899991002865,9.094947017729282e-13,7.275957614183426e-12,7,2025-01-11 00:10:00,2025-01-12 00:10:00,0.9999999999999999,0.0,0.0,0
D,2025-01-10,18,10800.0,6,1,48296.69069390998,0.045810300012817606,1.8189894035458565e-12,2.8421709430404007e-13,7,2025-01-11 00:10:00,2025-01-12 00:10:00,0.9999999999999999,0.0,0.0,0
D,2025-01-11,0,10663.995752862826,7,1,95574.99851439298,0.1701900000043679,1.8189894035458565e-12,1.1368683772161603e-13,8,2025-01-12 00:10:00,2025-01-13 00:10:00,0.9999999999999998,0.0,0.0,0
D,2025-01-11,6,10800.0,7,1,86029.19662791483,0.09668380000221077,1.8189894035458565e-12,1.4551915228366852e-11,8,2025-01-12 00:10:00,2025-01-13 00:10:00,0.9999999999999998,0.0,0.0,0
D,2025-01-11,12,8410.786684399833,7,1,74083.0225505093,0.08070310000039171,1.8189894035458565e-12,1.1368683772161603e-13,8,2025-01-12 00:10:00,2025-01-13 00:10:00,0.9999999999999998,0.0,0.0,0
D,2025-01-11,18,10800.0,7,1,58469.748728068575,0.06599139999889303,1.8189894035458565e-12,1.1368683772161603e-13,8,2025-01-12 00:10:00,2025-01-13 00:10:00,0.9999999999999998,0.0,0.0,0
D,2025-01-12,0,8365.31216675855,8,1,113376.66024769832,0.17503070000384469,1.8189894035458565e-12,1.1368683772161603e-13,9,2025-01-13 00:10:00,2025-01-14 00:10:00,1.0,0.0,0.0,0
D,2025-01-12,6,9643.400174879069,8,1,104920.89940067576,0.11083760000474285,1.8189894035458565e-12,2.2737367544323206e-13,9,2025-01-13 00:10:00,2025-01-14 00:10:00,1.0,0.0,0.0,0
D,2025-01-12,12,5516.992415763993,8,1,83781.70884383003,0.09343029999581631,1.8189894035458565e-12,2.1827872842550278e-11,9,2025-01-13 00:10:00,2025-01-14 00:10:00,1.0,0.0,0.0,0
D,2025-01-12,18,9497.048343262244,8,1,60802.35559284155,0.07614240000839345,9.094947017729282e-13,2.2737367544323206e-13,9,2025-01-13 00:10:00,2025-01-14 00:10:00,1.0,0.0,0.0,0
D,2025-01-13,0,3607.1240286857123,9,1,135262.14730270268,0.16198419999273028,1.8189894035458565e-12,1.4551915228366852e-11,10,2025-01-14 00:10:00,2025-01-15 00:10:00,1.0,0.0,0.0,0
D,2025-01-13,6,10800.0,9,1,119396.2080739877,0.11119609999877866,1.8189894035458565e-12,1.4551915228366852e-11,10,2025-01-14 00:10:00,2025-01-15 00:10:00,1.0,0.0,0.0,0
D,2025-01-13,12,8255.167758374977,9,1,94704.47690950496,0.07439369999337941,1.8189894035458565e-12,2.8421709430404007e-13,10,2025-01-14 00:10:00,2025-01-15 00:10:00,1.0,0.0,0.0,0
D,2025-01-13,18,10800.0,9,1,68806.66587281332,0.08438210000167601,1.8189894035458565e-12,2.8421709430404007e-13,10,2025-01-14 00:10:00,2025-01-15 00:10:00,1.0,0.0,0.0,0
D,2025-01-14,0,4318.324822029529,9,1,135996.51745071154,0.2146945999993477,1.8189894035458565e-12,5.820766091346741e-11,11,2025-01-15 00:10:00,2025-01-16 00:10:00,1.0,0.0,0.0,0
D,2025-01-14,6,10800.0,9,1,121414.65023264577,0.1239936000056332,9.094947017729282e-13,2.8421709430404007e-13,11,2025-01-15 00:10:00,2025-01-16 00:10:00,1.0,0.0,0.0,0
D,2025-01-14,12,7733.805181080681,9,1,100045.27129984487,0.10588210000423715,1.8189894035458565e-12,2.8421709430404007e-13,11,2025-01-15 00:10:00,2025-01-16 00:10:00,1.0,0.0,0.0,0
D,2025-01-14,18,10567.380006144882,9,1,69802.7920190715,0.08520640000642743,1.8189894035458565e-12,2.8421709430404007e-13,11,2025-01-15 00:10:00,2025-01-16 00:10:00,1.0,0.0,0.0,0
D,2025-01-15,0,4561.301962770923,9,1,135001.68723786817,0.1944694999983767,1.8189894035458565e-12,1.1368683772161603e-13,12,2025-01-16 00:10:00,2025-01-17 00:10:00,1.0,0.0,0.0,0
D,2025-01-15,6,10800.0,9,1,124657.16062667617,0.12553760000446346,1.8189894035458565e-12,2.2737367544323206e-13,12,2025-01-16 00:10:00,2025-01-17 00:10:00,1.0,0.0,0.0,0
D,2025-01-15,12,9931.549691012651,9,1,105037.10488291805,0.10407970000233036,1.8189894035458565e-12,2.2737367544323206e-13,12,2025-01-16 00:10:00,2025-01-17 00:10:00,1.0,0.0,0.0,0
D,2025-01-15,18,9035.108629316683,9,1,74818.85640897718,0.08591890000388958,1.8189894035458565e-12,1.8189894035458565e-12,12,2025-01-16 00:10:00,2025-01-17 00:10:00,1.0,0.0,0.0,0
D,2025-01-16,0,5243.99369889865,9,1,98880.16106167882,0.2097222000011243,1.8189894035458565e-12,7.275957614183426e-12,13,2025-01-17 00:10:00,2025-01-18 00:10:00,1.0,0.0,0.0,0
D,2025-01-16,6,10777.484801783807,9,1,87336.99550366831,0.13367129999096505,1.8189894035458565e-12,2.2737367544323206e-13,13,2025-01-17 00:10:00,2025-01-18 00:10:00,1.0,0.0,0.0,0
D,2025-01-16,12,6918.254107910142,9,1,68835.6645800294,0.11535550000553485,1.8189894035458565e-12,7.275957614183426e-12,13,2025-01-17 00:10:00,2025-01-18 00:10:00,1.0,0.0,0.0,0
D,2025-01-16,18,10328.642612770056,9,1,50570.49982598139,0.08862460000091232,1.8189894035458565e-12,1.7053025658242404e-13,13,2025-01-17 00:10:00,2025-01-18 00:10:00,1.0,0.0,0.0,0
D,2025-01-17,0,6174.592758086546,9,1,81938.61441876848,0.210962400000426,1.8189894035458565e-12,1.1368683772161603e-13,14,2025-01-18 00:10:00,2025-01-19 00:10:00,1.0,0.0,0.0,0
D,2025-01-17,6,10800.0,9,1,69205.34046260158,0.11394180000934284,1.8189894035458565e-12,3.637978807091713e-12,14,2025-01-18 00:10:00,2025-01-19 00:10:00,1.0,0.0,0.0,0
D,2025-01-17,12,10800.0,9,1,62193.36374371388,0.09490409999853,9.094947017729282e-13,1.7053025658242404e-13,14,2025-01-18 00:10:00,2025-01-19 00:10:00,1.0,0.0,0.0,0
D,2025-01-17,18,10800.0,9,1,46802.44741877824,0.09193930000765249,9.094947017729282e-13,1.7053025658242404e-13,14,2025-01-18 00:10:00,2025-01-19 00:10:00,1.0,0.0,0.0,0
D,2025-01-18,0,10171.861770491636,9,1,83528.01497179079,0.20914210000773892,9.094947017729282e-13,7.275957614183426e-12,15,2025-01-19 00:10:00,2025-01-20 00:10:00,1.0,0.0,0.0,0
D,2025-01-18,6,10800.0,9,1,73444.14354789398,0.11337330000242218,1.8189894035458565e-12,3.637978807091713e-12,15,2025-01-19 00:10:00,2025-01-20 00:10:00,1.0,0.0,0.0,0
D,2025-01-18,12,9991.781322185785,9,1,65888.91798763513,0.11063500000454951,1.8189894035458565e-12,1.8189894035458565e-12,15,2025-01-19 00:10:00,2025-01-20 00:10:00,1.0,0.0,0.0,0
D,2025-01-18,18,10800.0,9,1,58778.68432425269,0.08678440000221599,9.094947017729282e-13,2.8421709430404007e-13,15,2025-01-19 00:10:00,2025-01-20 00:10:00,1.0,0.0,0.0,0
D,2025-01-19,0,7709.358928787992,9,1,97828.75755040295,0.22385540000686888,1.8189894035458565e-12,1.1368683772161603e-13,16,2025-01-20 00:10:00,2025-01-21 00:10:00,1.0,0.0,0.0,0
D,2025-01-19,6,9678.234460669197,9,1,88794.16872598426,0.09324119999655522,1.8189894035458565e-12,2.8421709430404007e-13,16,2025-01-20 00:10:00,2025-01-21 00:10:00,1.0,0.0,0.0,0
D,2025-01-19,12,4165.020635076574,9,1,81726.08934932103,0.08005819999380037,1.8189894035458565e-12,7.275957614183426e-12,16,2025-01-20 00:10:00,2025-01-21 00:10:00,1.0,0.0,0.0,0
D,2025-01-19,18,8912.52649607842,9,1,70081.93508436604,0.05862909999268595,9.094947017729282e-13,2.8421709430404007e-13,16,2025-01-20 00:10:00,2025-01-21 00:10:00,1.0,0.0,0.0,0
D,2025-01-20,0,4649.968097336238,9,1,118566.18481815382,0.16375139998854138,1.8189894035458565e-12,7.275957614183426e-12,17,2025-01-21 00:10:00,2025-01-22 00:10:00,1.0,0.0,0.0,0
D,2025-01-20,6,10790.80798928899,9,1,104921.3927722548,0.1291551000031177,1.8189894035458565e-12,2.8421709430404007e-13,17,2025-01-21 00:10:00,2025-01-22 00:10:00,1.0,0.0,0.0,0
D,2025-01-20,12,5118.134089947242,9,1,92835.0593747356,0.07505549999768846,1.8189894035458565e-12,3.637978807091713e-12,17,2025-01-21 00:10:00,2025-01-22 00:10:00,1.0,0.0,0.0,0
D,2025-01-20,18,10443.497821178407,9,1,67163.014946156,0.06700530000671279,9.094947017729282e-13,2.8421709430404007e-13,17,2025-01-21 00:10:00,2025-01-22 00:10:00,1.0,0.0,0.0,0
D,2025-01-21,0,6536.231186568,9,1,118626.20405767547,0.21559130000241566,1.8189894035458565e-12,1.1368683772161603e-13,18,2025-01-22 00:10:00,2025-01-23 00:10:00,1.0,0.0,0.0,0
D,2025-01-21,6,10764.534951698748,9,1,103743.13877347184,0.13485999999102205,1.8189894035458565e-12,3.637978807091713e-12,18,2025-01-22 00:10:00,2025-01-23 00:10:00,1.0,0.0,0.0,0
D,2025-01-21,12,7304.23563462748,9,1,91609.97602152912,0.10995860000548419,1.8189894035458565e-12,3.410605131648481e-13,18,2025-01-22 00:10:00,2025-01-23 00:10:00,1.0,0.0,0.0,0
D,2025-01-21,18,10790.345121535009,9,1,76165.45990080741,0.0889035000000149,1.8189894035458565e-12,3.410605131648481e-13,18,2025-01-22 00:10:00,2025-01-23 00:10:00,1.0,0.0,0.0,0
D,2025-01-22,0,6934.416728479921,9,1,127562.08364902511,0.21537370000442024,1.8189894035458565e-12,1.1368683772161603e-13,19,2025-01-23 00:10:00,2025-01-24 00:10:00,1.0,0.0,0.0,0
D,2025-01-22,6,10800.0,9,1,114355.9283448624,0.12621099999523722,1.8189894035458565e-12,7.275957614183426e-12,19,2025-01-23 00:10:00,2025-01-24 00:10:00,1.0,0.0,0.0,0
D,2025-01-22,12,7233.9715039898365,9,1,96426.64010935623,0.10785000000032596,1.8189894035458565e-12,2.2737367544323206e-13,19,2025-01-23 00:10:00,2025-01-24 00:10:00,1.0,0.0,0.0,0
D,2025-01-22,18,10613.572519044077,9,1,77751.26784993258,0.0834144000109518,1.8189894035458565e-12,1.7053025658242404e-13,19,2025-01-23 00:10:00,2025-01-24 00:10:00,1.0,0.0,0.0,0
D,2025-01-23,0,7002.691395587711,9,1,100928.47205138278,0.2509455999970669,1.8189894035458565e-12,1.1368683772161603e-13,20,2025-01-24 00:10:00,2025-01-25 00:10:00,1.0,0.0,0.0,0
D,2025-01-23,6,10800.0,9,1,88956.65608130458,0.13085980000323616,1.8189894035458565e-12,7.275957614183426e-12,20,2025-01-24 00:10:00,2025-01-25 00:10:00,1.0,0.0,0.0,0
D,2025-01-23,12,5842.782644313364,9,1,73886.88014230032,0.08927860000403598,1.8189894035458565e-12,3.637978807091713e-12,20,2025-01-24 00:10:00,2025-01-25 00:10:00,1.0,0.0,0.0,0
D,2025-01-23,18,10588.398338606561,9,1,50431.5039304972,0.08679549999942537,1.8189894035458565e-12,2.8421709430404007e-13,20,2025-01-24 00:10:00,2025-01-25 00:10:00,1.0,0.0,0.0,0
D,2025-01-24,0,7271.223431567767,9,1,80363.81567150014,0.21316879999358207,1.8189894035458565e-12,1.1368683772161603e-13,21,2025-01-25 00:10:00,2025-01-26 00:10:00,1.0,0.0,0.0,0
D,2025-01-24,6,10800.0,9,1,69065.67112332246,0.1311375999939628,1.8189894035458565e-12,7.275957614183426e-12,21,2025-01-25 00:10:00,2025-01-26 00:10:00,1.0,0.0,0.0,0
D,2025-01-24,12,10800.0,9,1,61362.96277769719,0.11522409999452066,1.8189894035458565e-12,3.410605131648481e-13,21,2025-01-25 00:10:00,2025-01-26 00:10:00,1.0,0.0,0.0,0
D,2025-01-24,18,10800.0,9,1,44163.06001914687,0.08796699999948032,1.8189894035458565e-12,3.410605131648481e-13,21,2025-01-25 00:10:00,2025-01-26 00:10:00,1.0,0.0,0.0,0
D,2025-01-25,0,10694.164536040293,9,1,82368.24733274085,0.16575210000155494,1.8189894035458565e-12,2.1827872842550278e-11,22,2025-01-26 00:10:00,2025-01-27 00:10:00,1.0,0.0,0.0,0
D,2025-01-25,6,10800.0,9,1,76291.78093753285,0.09156630000506993,1.8189894035458565e-12,2.8421709430404007e-13,22,2025-01-26 00:10:00,2025-01-27 00:10:00,1.0,0.0,0.0,0
D,2025-01-25,12,7006.933501369137,9,1,67276.00671377305,0.07326029999239836,1.8189894035458565e-12,2.8421709430404007e-13,22,2025-01-26 00:10:00,2025-01-27 00:10:00,1.0,0.0,0.0,0
D,2025-01-25,18,10725.804869724667,9,1,59931.84827964285,0.05651680000300985,9.094947017729282e-13,2.8421709430404007e-13,22,2025-01-26 00:10:00,2025-01-27 00:10:00,1.0,0.0,0.0,0
D,2025-01-26,0,7604.858820077848,9,1,107256.33063399272,0.1903452999977162,1.8189894035458565e-12,7.275957614183426e-12,23,2025-01-27 00:10:00,2025-01-28 00:10:00,1.0,0.0,0.0,0
D,2025-01-26,6,9502.633577925055,9,1,93725.16038588839,0.12380980000307318,1.8189894035458565e-12,2.8421709430404007e-13,23,2025-01-27 00:10:00,2025-01-28 00:10:00,1.0,0.0,0.0,0
D,2025-01-26,12,5187.988560784848,9,1,81806.1567300985,0.1045567000110168,1.8189894035458565e-12,1.8189894035458565e-12,23,2025-01-27 00:10:00,2025-01-28 00:10:00,1.0,0.0,0.0,0
D,2025-01-26,18,9663.243084736714,9,1,63055.441635131756,0.08776660000148695,1.8189894035458565e-12,9.094947017729282e-13,23,2025-01-27 00:10:00,2025-01-28 00:10:00,1.0,0.0,0.0,0
D,2025-01-27,0,5217.8993929635935,9,1,117838.48435348045,0.22095099999569356,1.8189894035458565e-12,1.1368683772161603e-13,24,2025-01-28 00:10:00,2025-01-29 00:10:00,1.0,0.0,0.0,0
D,2025-01-27,6,10800.0,9,1,107806.22790256655,0.12992430001031607,1.8189894035458565e-12,1.8189894035458565e-12,24,2025-01-28 00:10:00,2025-01-29 00:10:00,1.0,0.0,0.0,0
D,2025-01-27,12,8616.872086793992,9,1,90054.19425747437,0.07098629999381956,1.8189894035458565e-12,7.275957614183426e-12,24,2025-01-28 00:10:00,2025-01-29 00:10:00,1.0,0.0,0.0,0
D,2025-01-27,18,9821.54217072263,9,1,70024.8076592986,0.055782299998099916,1.8189894035458565e-12,9.094947017729282e-13,24,2025-01-28 00:10:00,2025-01-29 00:10:00,1.0,0.0,0.0,0
D,2025-01-28,0,5371.579921721567,9,1,121706.55164766732,0.14420500000414904,1.8189894035458565e-12,1.1368683772161603e-13,25,2025-01-29 00:10:00,2025-01-30 00:10:00,1.0,0.0,0.0,0
D,2025-01-28,6,10800.0,9,1,108786.92746296791,0.11512480000965297,1.8189894035458565e-12,9.094947017729282e-13,25,2025-01-29 00:10:00,2025-01-30 00:10:00,1.0,0.0,0.0,0
D,2025-01-28,12,7549.791736043171,9,1,93057.8328752077,0.11157220001041424,1.8189894035458565e-12,3.637978807091713e-12,25,2025-01-29 00:10:00,2025-01-30 00:10:00,1.0,0.0,0.0,0
D,2025-01-28,18,10402.108627332267,9,1,67184.472758181,0.08015389999491163,1.8189894035458565e-12,2.8421709430404007e-13,25,2025-01-29 00:10:00,2025-01-30 00:10:00,1.0,0.0,0.0,0
