date,event_hour,target_offset_10min,slot_j,slot_label,price,mu_fd,deadzone_low_0.5p,deadzone_high_1.5p,B_kwh,A_event_kwh,A_minus_B_kwh,predicted_direction,actual_direction,direction_match,J_minus,J_plus
2025-03-20,12,21,92,15:30-15:40,0.7308,0.3654000000024098,0.3654,1.0962,562.3911583333332,419.1259583333334,-143.26519999999982,down_boundary,down,True,54361.667701016966,54362.39850101697
2025-03-20,18,0,107,18:00-18:10,1.2313,0.6156499999997322,0.61565,1.84695,629.1752499999999,603.1539833333333,-26.021266666666634,down_boundary,down,True,37433.67730771601,37434.90860771601
2025-06-21,12,26,97,16:20-16:30,0.8519,0.44302500000048894,0.42595,1.27785,290.08594333333326,290.0859433333333,5.684341886080802e-14,deadzone,deadzone,True,53146.19172863377,53147.07777863377
2025-06-21,18,5,112,18:50-19:00,1.2881,0.6440500000026077,0.64405,1.93215,555.1694863888888,480.7268758333332,-74.44261055555558,down_boundary,down,True,47410.276742150076,47411.56484215008
2025-09-23,12,2,73,12:20-12:30,0.4551,0.22315000000526197,0.22755,0.68265,584.5461388888888,0.0,-584.5461388888888,nonnegative_contract_bound,down,True,69852.31506942089,69852.7613694209
2025-09-23,18,24,131,22:00-22:10,0.4209,0.39852222222543787,0.21045,0.63135,1282.0469998913559,1282.046999891356,2.2737367544323206e-13,deadzone,deadzone,True,54505.63687650433,54506.43392094878
2025-12-21,12,19,90,15:10-15:20,0.66,0.5932555555482395,0.33,0.99,1311.7488744444445,1311.7488744444447,2.2737367544323206e-13,deadzone,deadzone,True,79447.72538245216,79448.91189356326
2025-12-21,18,24,131,22:00-22:10,0.4209,0.40393888889229856,0.21045,0.63135,1267.79,1267.7900000000002,2.2737367544323206e-13,deadzone,deadzone,True,63913.609437175655,63914.41731495344
