strategy,date,interval_i,event_hour,horizon_slots,soc_before_kwh,soc_after_kwh,contract_kwh,forecast_net_kwh,dispatch_net_kwh,execution_mode,measurement_model,actual_net_kwh,forecast_residual_kwh,charge_kwh,discharge_kwh,predicted_emergency_kwh,emergency_kwh,curtail_kwh,pv_curtail_kwh,grid_import_kwh,unused_contract_kwh,supply_surplus_kwh,battery_dump_kwh,terminal_shortfall_kwh
D,2025-01-01,11,0,25,6790.569415042095,6790.569415042095,833.3333333333333,813.4280666666665,615.7768833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,615.7768833333333,-197.65118333333317,0.0,0.0,0.0,0.0,0.0,0.0,615.7768833333333,217.55644999999993,217.55644999999993,0.0,0.0
D,2025-01-01,12,0,24,6790.569415042095,6790.569415042095,833.3333333333333,635.6821500000001,677.4549999999999,measured_current_mpc,ideal_piecewise_constant_current_slot,677.4549999999999,41.772849999999835,0.0,0.0,0.0,0.0,0.0,0.0,677.4549999999999,155.87833333333333,155.87833333333333,0.0,0.0
D,2025-01-01,13,0,23,6790.569415042095,6790.569415042095,833.3333333333333,875.1061833333331,635.1118333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,635.1118333333333,-239.99434999999983,0.0,0.0,0.0,0.0,0.0,0.0,635.1118333333333,198.2215,198.2215,0.0,0.0
D,2025-01-01,14,0,22,6790.569415042095,6790.569415042095,833.3333333333333,593.3389833333334,640.8249166666667,measured_current_mpc,ideal_piecewise_constant_current_slot,640.8249166666667,47.485933333333264,0.0,0.0,0.0,0.0,0.0,0.0,640.8249166666667,192.50841666666656,192.50841666666656,0.0,0.0
D,2025-01-01,15,0,21,6790.569415042095,6790.569415042095,833.3333333333333,880.8192666666665,705.77,measured_current_mpc,ideal_piecewise_constant_current_slot,705.77,-175.04926666666654,0.0,0.0,0.0,0.0,0.0,0.0,705.77,127.56333333333328,127.56333333333328,0.0,0.0
D,2025-01-01,16,0,20,6790.569415042095,6790.569415042095,833.3333333333333,658.2840666666667,684.9959166666665,measured_current_mpc,ideal_piecewise_constant_current_slot,684.9959166666665,26.7118499999998,0.0,0.0,0.0,0.0,0.0,0.0,684.9959166666665,148.33741666666674,148.33741666666674,0.0,0.0
D,2025-01-01,17,0,19,6790.569415042095,6790.569415042095,833.3333333333333,860.0451833333331,666.1490833333332,measured_current_mpc,ideal_piecewise_constant_current_slot,666.1490833333332,-193.89609999999982,0.0,0.0,0.0,0.0,0.0,0.0,666.1490833333332,167.18425000000002,167.18425000000002,0.0,0.0
D,2025-01-01,18,0,18,6790.569415042095,6790.569415042095,833.3333333333333,639.4372333333334,683.6983333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,683.6983333333333,44.26109999999983,0.0,0.0,0.0,0.0,0.0,0.0,683.6983333333333,149.635,149.635,0.0,0.0
D,2025-01-01,19,0,17,6790.569415042095,6790.569415042095,833.3333333333333,877.5944333333331,681.0096166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,681.0096166666666,-196.58481666666648,0.0,0.0,0.0,0.0,0.0,0.0,681.0096166666666,152.32371666666666,152.32371666666666,0.0,0.0
D,2025-01-01,20,0,16,6790.569415042095,6790.569415042095,833.3333333333333,636.7485166666668,688.9604333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,688.9604333333333,52.211916666666525,0.0,0.0,0.0,0.0,0.0,0.0,688.9604333333333,144.37289999999996,144.37289999999996,0.0,0.0
D,2025-01-01,21,0,15,6790.569415042095,6790.569415042095,833.3333333333333,885.5452499999998,696.53,measured_current_mpc,ideal_piecewise_constant_current_slot,696.53,-189.0152499999998,0.0,0.0,0.0,0.0,0.0,0.0,696.53,136.80333333333328,136.80333333333328,0.0,0.0
D,2025-01-01,22,0,14,6790.569415042095,6790.569415042095,833.3333333333333,644.3180833333334,658.8951833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,658.8951833333333,14.57709999999986,0.0,0.0,0.0,0.0,0.0,0.0,658.8951833333333,174.43814999999995,174.43814999999995,0.0,0.0
D,2025-01-01,23,0,13,6790.569415042095,6790.569415042095,833.3333333333333,847.9104333333331,651.7916,measured_current_mpc,ideal_piecewise_constant_current_slot,651.7916,-196.1188333333331,0.0,0.0,0.0,0.0,0.0,0.0,651.7916,181.54173333333324,181.54173333333324,0.0,0.0
D,2025-01-01,24,0,12,6790.569415042095,6790.569415042095,833.3333333333333,637.2145000000002,683.2183333333334,measured_current_mpc,ideal_piecewise_constant_current_slot,683.2183333333334,46.003833333333205,0.0,0.0,0.0,0.0,0.0,0.0,683.2183333333334,150.1149999999999,150.1149999999999,0.0,0.0
D,2025-01-01,25,0,11,6790.569415042095,6790.569415042095,833.3333333333333,879.3371666666665,687.3103833333332,measured_current_mpc,ideal_piecewise_constant_current_slot,687.3103833333332,-192.02678333333324,0.0,0.0,0.0,0.0,0.0,0.0,687.3103833333332,146.02295000000004,146.02295000000004,0.0,0.0
D,2025-01-01,26,0,10,6790.569415042095,6790.569415042095,833.3333333333333,641.30655,694.8344666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,694.8344666666667,53.52791666666667,0.0,0.0,0.0,0.0,0.0,0.0,694.8344666666667,138.49886666666657,138.49886666666657,0.0,0.0
D,2025-01-01,27,0,9,6790.569415042095,6790.569415042095,833.3333333333333,886.8612499999999,710.04,measured_current_mpc,ideal_piecewise_constant_current_slot,710.04,-176.82124999999996,0.0,0.0,0.0,0.0,0.0,0.0,710.04,123.2933333333333,123.2933333333333,0.0,0.0
D,2025-01-01,28,0,8,6790.569415042095,6790.569415042095,833.3333333333333,656.5120833333333,702.8703666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,702.8703666666667,46.35828333333336,0.0,0.0,0.0,0.0,0.0,0.0,702.8703666666667,130.4629666666666,130.4629666666666,0.0,0.0
D,2025-01-01,29,0,7,6790.569415042095,6790.569415042095,833.3333333333333,879.6916166666666,710.3095,measured_current_mpc,ideal_piecewise_constant_current_slot,710.3095,-169.38211666666666,0.0,0.0,0.0,0.0,0.0,0.0,710.3095,123.0238333333333,123.0238333333333,0.0,0.0
D,2025-01-01,30,0,6,6790.569415042095,6894.624161449936,833.3333333333333,663.9512166666666,723.6499999999999,measured_current_mpc,ideal_piecewise_constant_current_slot,723.6499999999999,59.69878333333327,109.6833333333334,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,0.0,0.0,0.0
D,2025-01-01,31,0,5,6894.624161449936,7019.81577728639,833.3333333333333,893.0321166666665,701.3697833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,701.3697833333333,-191.6623333333332,131.96354999999994,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,0.0,0.0,0.0
D,2025-01-01,32,0,4,7019.81577728639,7130.159772184491,833.3333333333333,641.671,717.02055,measured_current_mpc,ideal_piecewise_constant_current_slot,717.02055,75.34954999999991,116.3127833333333,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,0.0,0.0,0.0
D,2025-01-01,33,0,3,7130.159772184491,7216.080437350096,833.3333333333333,908.6828833333332,742.765,measured_current_mpc,ideal_piecewise_constant_current_slot,742.765,-165.91788333333318,90.56833333333327,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,0.0,0.0,0.0
D,2025-01-01,34,0,2,7216.080437350096,8006.649852392191,1666.6666666666665,667.4154500000001,691.4345166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,691.4345166666666,24.019066666666504,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1524.76785,141.89881666666656,141.89881666666656,0.0,0.0
D,2025-01-01,35,0,1,8006.649852392191,8086.001945081812,833.3333333333333,857.3523999999998,749.6888833333334,measured_current_mpc,ideal_piecewise_constant_current_slot,749.6888833333334,-107.6635166666664,83.64444999999988,0.0,0.0,0.0,0.0,0.0,833.3333333333333,0.0,0.0,0.0,0.0
D,2025-01-01,36,6,36,8086.001945081812,7207.5914839239285,-0.0,720.335275,894.8966666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,894.8966666666666,174.56139166666662,0.0,833.3333333333333,61.56333333333339,61.56333333333339,0.0,0.0,0.0,0.0,0.0,0.0,2229.0974684141283
D,2025-01-01,37,6,35,7207.5914839239285,6329.181022766045,-0.0,897.9064214484345,906.7470333333332,measured_current_mpc,ideal_piecewise_constant_current_slot,906.7470333333332,8.840611884898749,0.0,833.3333333333333,73.41369999999995,73.41369999999993,0.0,0.0,0.0,0.0,0.0,0.0,1990.5720594493087
D,2025-01-01,38,6,34,6329.181022766045,5450.770561608162,-0.0,735.110589747514,886.1488333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,886.1488333333333,151.03824358581926,0.0,833.3333333333333,52.81550000000004,52.81550000000004,0.0,0.0,0.0,0.0,0.0,0.0,519.3771958252883
D,2025-01-01,39,6,33,5450.770561608162,4572.360100450279,-0.0,880.1506861522774,899.9699999999999,measured_current_mpc,ideal_piecewise_constant_current_slot,899.9699999999999,19.81931384772247,0.0,833.3333333333333,66.63666666666666,66.63666666666666,0.0,0.0,0.0,0.0,0.0,0.0,198.36897174964815
D,2025-01-01,40,6,32,4572.360100450279,3693.9496392923957,-0.0,751.693997416261,906.9324166666667,measured_current_mpc,ideal_piecewise_constant_current_slot,906.9324166666667,155.23841925040563,0.0,833.3333333333333,73.5990833333334,73.59908333333344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,41,6,31,3693.9496392923957,3693.9496392923957,352.3651530533949,889.7973178895196,907.4001666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,907.4001666666666,17.60284877714696,0.0,0.0,555.0350136132716,555.0350136132716,0.0,0.0,352.3651530533949,0.0,0.0,0.0,0.0
D,2025-01-01,42,6,30,3693.9496392923957,3693.9496392923957,737.1672253393764,754.7700741165233,905.0925,measured_current_mpc,ideal_piecewise_constant_current_slot,905.0925,150.32242588347663,0.0,0.0,167.9252746606236,167.9252746606236,0.0,0.0,737.1672253393764,0.0,0.0,0.0,0.0
D,2025-01-01,43,6,29,3693.9496392923957,3693.9496392923957,788.3634166666667,846.0630546654991,878.9144166666666,measured_current_mpc,ideal_piecewise_constant_current_slot,878.9144166666666,32.85136200116756,0.0,0.0,90.55099999999993,90.55099999999993,0.0,0.0,788.3634166666667,0.0,0.0,0.0,0.0
D,2025-01-01,44,6,28,3693.9496392923957,3693.9496392923957,743.91305,687.0936069033588,848.0847,measured_current_mpc,ideal_piecewise_constant_current_slot,848.0847,160.99109309664118,0.0,0.0,104.17165,104.17165,0.0,0.0,743.91305,0.0,0.0,0.0,0.0
D,2025-01-01,45,6,27,3693.9496392923957,3693.9496392923957,699.4626833333333,773.6651334477594,799.8166666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,799.8166666666666,26.15153321890716,0.0,0.0,100.3539833333333,100.3539833333333,0.0,0.0,699.4626833333333,0.0,0.0,0.0,0.0
D,2025-01-01,46,6,26,3693.9496392923957,4333.934122375403,1404.3712612359336,597.1894611215075,729.7683833333334,measured_current_mpc,ideal_piecewise_constant_current_slot,729.7683833333334,132.5789222118259,674.6028779026002,0.0,0.0,0.0,0.0,0.0,1404.3712612359336,0.0,0.0,0.0,0.0
D,2025-01-01,47,6,25,4333.934122375403,4333.934122375403,-0.0,661.9146901408219,804.7576333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,804.7576333333333,142.84294319251137,0.0,0.0,804.7576333333333,804.7576333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,48,6,24,4333.934122375403,3455.5236612175195,-0.0,630.4123130293012,953.9520833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,953.9520833333333,323.5397703040321,0.0,833.3333333333333,120.61875000000009,120.61875000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,49,6,23,3455.5236612175195,2577.1132000596363,-0.0,765.8493359890846,921.9955833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,921.9955833333333,156.14624734424876,0.0,833.3333333333333,88.66225000000009,88.66225000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,50,6,22,2577.1132000596363,1698.702738901753,-0.0,553.135242221008,833.4274833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,833.4274833333333,280.2922411123253,0.0,833.3333333333333,0.09415000000001328,0.09415000000001328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,51,6,21,1698.702738901753,1200.0,-0.0,631.9015632585655,787.6695833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,787.6695833333333,155.76802007476783,0.0,473.11095908813934,314.558624245194,314.5586242451939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,52,6,20,1200.0,1200.0,-0.0,461.940186696326,755.8976333333333,measured_current_mpc,ideal_piecewise_constant_current_slot,755.8976333333333,293.95744663700725,0.0,0.0,755.8976333333333,755.8976333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,53,6,19,1200.0,1200.0,-0.0,554.6365497109234,692.23025,measured_current_mpc,ideal_piecewise_constant_current_slot,692.23025,137.59370028907654,0.0,0.0,692.23025,692.23025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,54,6,18,1200.0,1200.0,-0.0,352.7253634219132,621.0545833333332,measured_current_mpc,ideal_piecewise_constant_current_slot,621.0545833333332,268.32921991142,0.0,0.0,621.0545833333332,621.0545833333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,55,6,17,1200.0,1200.0,-0.0,446.60964804613695,603.3464166666665,measured_current_mpc,ideal_piecewise_constant_current_slot,603.3464166666665,156.73676862052957,0.0,0.0,603.3464166666665,603.3464166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,56,6,16,1200.0,1200.0,-0.0,298.11452389286933,558.9860166666665,measured_current_mpc,ideal_piecewise_constant_current_slot,558.9860166666665,260.8714927737972,0.0,0.0,558.9860166666665,558.9860166666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,57,6,15,1200.0,1200.0,-0.0,365.29654648668986,491.58416666666665,measured_current_mpc,ideal_piecewise_constant_current_slot,491.58416666666665,126.28762017997678,0.0,0.0,491.58416666666665,491.58416666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,58,6,14,1200.0,1200.0,-0.0,193.71131419866788,482.27864999999997,measured_current_mpc,ideal_piecewise_constant_current_slot,482.27864999999997,288.5673358013321,0.0,0.0,482.27864999999997,482.27864999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,59,6,13,1200.0,1200.0,-0.0,318.94234500611105,448.07084999999995,measured_current_mpc,ideal_piecewise_constant_current_slot,448.07084999999995,129.1285049938889,0.0,0.0,448.07084999999995,448.07084999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,60,6,12,1200.0,1200.0,-0.0,122.40880076144545,377.1370833333334,measured_current_mpc,ideal_piecewise_constant_current_slot,377.1370833333334,254.72828257188797,0.0,0.0,377.1370833333334,377.1370833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,61,6,11,1200.0,1200.0,-0.0,234.92676670155933,340.80316666666647,measured_current_mpc,ideal_piecewise_constant_current_slot,340.80316666666647,105.87639996510714,0.0,0.0,340.80316666666647,340.80316666666647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,62,6,10,1200.0,1200.0,-0.0,72.94953124483204,292.9262666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,292.9262666666666,219.97673542183458,0.0,0.0,292.9262666666666,292.9262666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,63,6,9,1200.0,1200.0,-0.0,173.88216547382322,248.57416666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,248.57416666666666,74.69200119284343,0.0,0.0,248.57416666666666,248.57416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,64,6,8,1200.0,1200.0,-0.0,15.38854179525869,276.8320666666666,measured_current_mpc,ideal_piecewise_constant_current_slot,276.8320666666666,261.44352487140793,0.0,0.0,276.8320666666666,276.8320666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,65,6,7,1200.0,1200.0,-0.0,188.8911161752869,299.6300666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,299.6300666666667,110.73895049137982,0.0,0.0,299.6300666666667,299.6300666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,66,6,6,1200.0,1200.0,702.4815000000001,24.898630108268122,293.8466666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,293.8466666666667,268.9480365583986,0.0,0.0,0.0,0.0,0.0,0.0,293.8466666666667,408.6348333333334,408.6348333333334,0.0,0.0
D,2025-01-01,67,6,5,1200.0,1200.0,703.8131472222223,188.38891505040237,309.9957999999999,measured_current_mpc,ideal_piecewise_constant_current_slot,309.9957999999999,121.60688494959754,0.0,0.0,0.0,0.0,0.0,0.0,309.9957999999999,393.81734722222234,393.81734722222234,0.0,0.0
D,2025-01-01,68,6,4,1200.0,1200.0,705.1447944444444,46.292105476427196,322.94439999999986,measured_current_mpc,ideal_piecewise_constant_current_slot,322.94439999999986,276.65229452357266,0.0,0.0,0.0,0.0,0.0,0.0,322.94439999999986,382.20039444444456,382.20039444444456,0.0,0.0
D,2025-01-01,69,6,3,1200.0,1200.0,706.4764416666666,206.54600995735058,305.7325000000001,measured_current_mpc,ideal_piecewise_constant_current_slot,305.7325000000001,99.1864900426495,0.0,0.0,0.0,0.0,0.0,0.0,305.7325000000001,400.7439416666665,400.7439416666665,0.0,0.0
D,2025-01-01,70,6,2,1200.0,1628.5761600689116,707.8080888888888,34.253835306309526,256.04915000000005,measured_current_mpc,ideal_piecewise_constant_current_slot,256.04915000000005,221.79531469369053,451.7589388888888,0.0,0.0,1.1368683772161603e-13,0.0,0.0,707.8080888888888,0.0,0.0,0.0,0.0
D,2025-01-01,71,6,1,1628.5761600689116,2112.696491315162,709.1397361111109,162.00237985718377,198.83209999999985,measured_current_mpc,ideal_piecewise_constant_current_slot,198.83209999999985,36.829720142816086,510.30763611111104,0.0,0.0,1.1368683772161603e-13,0.0,0.0,709.1397361111109,0.0,0.0,0.0,0.0
D,2025-01-01,72,12,36,2112.696491315162,2903.2659063572564,1100.0926916666665,266.75935833333324,189.9295833333333,measured_current_mpc,ideal_piecewise_constant_current_slot,189.9295833333333,-76.82977499999993,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1023.2629166666666,76.82977499999993,76.82977499999993,0.0,0.0
D,2025-01-01,73,12,35,2903.2659063572564,3693.8353213993514,1094.1791005373655,184.01599220403227,259.0887,measured_current_mpc,ideal_piecewise_constant_current_slot,259.0887,75.07270779596774,833.3333333333333,0.0,0.0,0.0,0.0,0.0,1092.4220333333333,1.7570672040321824,1.7570672040321824,0.0,0.0
D,2025-01-01,74,12,34,3693.8353213993514,3693.8353213993514,1088.5226929308728,330.2620673935072,244.46365000000003,measured_current_mpc,ideal_piecewise_constant_current_slot,244.46365000000003,-85.79841739350718,0.0,0.0,0.0,0.0,0.0,0.0,244.46365000000003,844.0590429308728,844.0590429308728,0.0,0.0
D,2025-01-01,75,12,33,3693.8353213993514,4484.404736441446,1083.1164231701043,163.9846724432639,163.56583333333344,measured_current_mpc,ideal_piecewise_constant_current_slot,163.56583333333344,-0.4188391099304454,833.3333333333333,0.0,0.0,0.0,0.0,0.0,996.8991666666667,86.21725650343762,86.21725650343762,0.0,0.0
D,2025-01-01,76,12,32,4484.404736441446,4484.404736441446,1077.953438597983,244.2012661547193,191.3554333333334,measured_current_mpc,ideal_piecewise_constant_current_slot,191.3554333333334,-52.8458328213859,0.0,0.0,0.0,0.0,0.0,0.0,191.3554333333334,886.5980052646496,886.5980052646496,0.0,0.0
D,2025-01-01,77,12,31,4484.404736441446,4484.404736441446,1073.0270742895564,186.84790813483713,228.33835,measured_current_mpc,ideal_piecewise_constant_current_slot,228.33835,41.490441865162865,0.0,0.0,0.0,0.0,0.0,0.0,228.33835,844.6887242895564,844.6887242895564,0.0,0.0
D,2025-01-01,78,12,30,4484.404736441446,4484.404736441446,303.22159707664053,276.48795644080496,236.75791666666646,measured_current_mpc,ideal_piecewise_constant_current_slot,236.75791666666646,-39.730039774138504,0.0,0.0,0.0,0.0,0.0,0.0,236.75791666666646,66.46368040997407,66.46368040997407,0.0,0.0
D,2025-01-01,79,12,29,4484.404736441446,4449.119766179945,248.7501380407049,209.0200982665664,282.22439999999995,measured_current_mpc,ideal_piecewise_constant_current_slot,282.22439999999995,73.20430173343354,0.0,33.474261959295035,0.0,0.0,0.0,0.0,248.75013804070488,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0
D,2025-01-01,80,12,28,4449.119766179945,4394.616096955643,262.720462657768,335.9247643912015,314.42718333333323,measured_current_mpc,ideal_piecewise_constant_current_slot,314.42718333333323,-21.497581057868274,0.0,51.706720675565236,0.0,0.0,0.0,0.0,262.72046265776794,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0
D,2025-01-01,81,12,27,4394.616096955643,4371.864852515678,276.90252438994,255.40494333207175,298.4862499999999,measured_current_mpc,ideal_piecewise_constant_current_slot,298.4862499999999,43.081306667928175,0.0,21.5837256100599,0.0,0.0,0.0,0.0,276.90252438994,0.0,0.0,0.0,0.0
D,2025-01-01,82,12,26,4371.864852515678,4371.864852515678,291.29052258823833,334.3718292561665,262.1568000000001,measured_current_mpc,ideal_piecewise_constant_current_slot,262.1568000000001,-72.21502925616642,0.0,0.0,0.0,0.0,0.0,0.0,262.1568000000001,29.133722588238243,29.133722588238243,0.0,0.0
D,2025-01-01,83,12,25,4371.864852515678,4371.864852515678,305.8788155154931,233.66378625932668,295.02009999999973,measured_current_mpc,ideal_piecewise_constant_current_slot,295.02009999999973,61.356313740673045,0.0,0.0,0.0,0.0,0.0,0.0,295.02009999999973,10.858715515493373,10.858715515493373,0.0,0.0
D,2025-01-01,84,12,24,4371.864852515678,3968.6138405223896,-0.0,382.01822973354655,382.5574999999999,measured_current_mpc,ideal_piecewise_constant_current_slot,382.5574999999999,0.5392702664533431,0.0,382.5574999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,85,12,23,3968.6138405223896,3524.5912664287844,-0.0,347.3558352099133,421.2368,measured_current_mpc,ideal_piecewise_constant_current_slot,421.2368,73.8809647900867,0.0,421.2368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,86,12,22,3524.5912664287844,3074.3269008484926,-0.0,447.0364587307889,427.15828333333343,measured_current_mpc,ideal_piecewise_constant_current_slot,427.15828333333343,-19.878175397455493,0.0,427.15828333333343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,87,12,21,3074.3269008484926,2614.996408193963,-0.0,379.7954791389096,435.7591666666665,measured_current_mpc,ideal_piecewise_constant_current_slot,435.7591666666665,55.96368752775686,0.0,435.7591666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,88,12,20,2614.996408193963,2131.7933895729634,-0.0,482.3298241148497,458.4066333333335,measured_current_mpc,ideal_piecewise_constant_current_slot,458.4066333333335,-23.92319078151621,0.0,458.4066333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,89,12,19,2131.7933895729634,1645.9324414421742,-0.0,429.3049736839577,460.9281666666667,measured_current_mpc,ideal_piecewise_constant_current_slot,460.9281666666667,31.623192982708986,0.0,460.9281666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,2025-01-01,90,12,18,1645.9324414421742,1645.9324414421742,1313.5884267082404,511.87828635761616,471.22541666666655,measured_current_mpc,ideal_piecewise_constant_current_slot,471.22541666666655,-40.652869690949615,0.0,0.0,0.0,0.0,0.0,0.0,471.22541666666655,842.3630100415738,842.3630100415738,0.0,0.0
D,2025-01-01,91,12,17,1645.9324414421742,2410.748523036399,1359.5976529876448,485.6114499633618,553.4107166666665,measured_current_mpc,ideal_piecewise_constant_current_slot,553.4107166666665,67.79926670330474,806.1869363209782,0.0,0.0,0.0,0.0,0.0,1359.5976529876448,0.0,0.0,0.0,0.0
